2022-02-18T16-04-21,70508,"OUR LADY OF LOURDES RMC, INC.",02/15/2022 12:00:00 AM,,25,,
2022-03-03T09-56-49,70508,"OUR LADY OF LOURDES RMC, INC.",02/28/2022 12:00:00 AM,,85,25,02/22/2022 12:00:00 AM
2022-03-03T10-04-44,70508,"OUR LADY OF LOURDES RMC, INC.",02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,85,85,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,70508,"OUR LADY OF LOURDES RMC, INC.",02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,85,85,03/04/2022 12:00:00 AM
2022-03-16T18-51-35,70508,"OUR LADY OF LOURDES RMC, INC.",NLP,NLP,NLP,130,03/10/2022 12:00:00 AM
2022-03-18T11-17-38,70508,"OUR LADY OF LOURDES RMC, INC.",NLP,NLP,NLP,130,03/15/2022 12:00:00 AM
2022-03-18T15-22-50,70508,"OUR LADY OF LOURDES RMC, INC.",NLP,NLP,NLP,130,03/15/2022 12:00:00 AM
2022-03-19T08-15-59,70508,"OUR LADY OF LOURDES RMC, INC.",NLP,NLP,NLP,130,03/15/2022 12:00:00 AM
2022-03-19T11-58-02,70508,"OUR LADY OF LOURDES RMC, INC.",NLP,NLP,NLP,130,03/15/2022 12:00:00 AM
2022-03-20T06-05-37,70508,"OUR LADY OF LOURDES RMC, INC.",NLP,NLP,NLP,130,03/15/2022 12:00:00 AM
2022-03-21T06-11-50,70508,"OUR LADY OF LOURDES RMC, INC.",NLP,NLP,NLP,130,03/15/2022 12:00:00 AM
2022-03-21T14-18-38,70508,"OUR LADY OF LOURDES RMC, INC.",NLP,NLP,NLP,130,03/15/2022 12:00:00 AM
2022-03-21T16-35-27,70508,"OUR LADY OF LOURDES RMC, INC.",NLP,NLP,NLP,130,03/15/2022 12:00:00 AM
2022-03-22T09-16-18,70508,"OUR LADY OF LOURDES RMC, INC.",NLP,NLP,NLP,130,03/15/2022 12:00:00 AM
2022-03-28T06-21-17,70508,"OUR LADY OF LOURDES RMC, INC.",NLP,NLP,NLP,130,03/15/2022 12:00:00 AM
2022-03-29T08-50-48,70508,"OUR LADY OF LOURDES RMC, INC.",NLP,NLP,NLP,130,03/15/2022 12:00:00 AM
2022-03-30T09-27-07,70508,"OUR LADY OF LOURDES RMC, INC.",NLP,NLP,NLP,130,03/15/2022 12:00:00 AM
2022-03-31T08-53-07,70508,"OUR LADY OF LOURDES RMC, INC.",NLP,NLP,NLP,130,03/15/2022 12:00:00 AM
2022-03-31T15-09-22,70508,"OUR LADY OF LOURDES RMC, INC.",NLP,NLP,NLP,130,03/15/2022 12:00:00 AM
2022-04-01T06-54-45,70508,"OUR LADY OF LOURDES RMC, INC.",NLP,NLP,NLP,130,03/15/2022 12:00:00 AM
2022-04-02T06-05-59,70508,"OUR LADY OF LOURDES RMC, INC.",NLP,NLP,NLP,130,03/15/2022 12:00:00 AM
2022-04-03T05-51-54,70508,"OUR LADY OF LOURDES RMC, INC.",NLP,NLP,NLP,130,03/15/2022 12:00:00 AM
2022-04-04T05-38-24,70508,"OUR LADY OF LOURDES RMC, INC.",NLP,NLP,NLP,130,03/15/2022 12:00:00 AM
2022-04-05T05-48-33,70508,"OUR LADY OF LOURDES RMC, INC.",NLP,NLP,NLP,130,03/15/2022 12:00:00 AM
2022-04-06T05-45-18,70508,"OUR LADY OF LOURDES RMC, INC.",NLP,NLP,NLP,130,03/15/2022 12:00:00 AM
2022-04-07T05-34-07,70508,"OUR LADY OF LOURDES RMC, INC.",NLP,NLP,NLP,130,03/15/2022 12:00:00 AM
2022-04-08T05-48-29,70508,"OUR LADY OF LOURDES RMC, INC.",NLP,NLP,NLP,130,03/15/2022 12:00:00 AM
2022-04-09T05-41-09,70508,"OUR LADY OF LOURDES RMC, INC.",NLP,NLP,NLP,130,03/15/2022 12:00:00 AM
