2022-02-18T16-04-21,70808,OUR LADY OF THE LAKE REG MED CTR,02/15/2022 12:00:00 AM,,25,,
2022-03-03T09-56-49,70808,OUR LADY OF THE LAKE REG MED CTR,02/28/2022 12:00:00 AM,,90,,
2022-03-03T10-04-44,70808,OUR LADY OF THE LAKE REG MED CTR,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,90,,
2022-03-08T14-40-56,70808,OUR LADY OF THE LAKE REG MED CTR,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,90,,
2022-06-01T05-37-50,70808,OUR LADY OF THE LAKE REG MED CTR,NLP,NLP,NLP,70,05/31/2022 12:00:00 AM
2022-06-02T07-54-10,70808,OUR LADY OF THE LAKE REG MED CTR,NLP,NLP,NLP,70,05/31/2022 12:00:00 AM
2022-06-03T08-50-11,70808,OUR LADY OF THE LAKE REG MED CTR,NLP,NLP,NLP,70,05/31/2022 12:00:00 AM
2022-06-04T19-11-08,70808,OUR LADY OF THE LAKE REG MED CTR,NLP,NLP,NLP,64,06/03/2022 12:00:00 AM
2022-06-05T08-48-25,70808,OUR LADY OF THE LAKE REG MED CTR,NLP,NLP,NLP,64,06/03/2022 12:00:00 AM
2022-06-06T06-32-51,70808,OUR LADY OF THE LAKE REG MED CTR,NLP,NLP,NLP,64,06/03/2022 12:00:00 AM
2022-06-07T05-36-41,70808,OUR LADY OF THE LAKE REG MED CTR,NLP,NLP,NLP,79,06/06/2022 12:00:00 AM
2022-06-08T05-42-02,70808,OUR LADY OF THE LAKE REG MED CTR,NLP,NLP,NLP,79,06/06/2022 12:00:00 AM
2022-06-09T04-15-20,70808,OUR LADY OF THE LAKE REG MED CTR,NLP,NLP,NLP,79,06/06/2022 12:00:00 AM
2022-06-10T04-15-36,70808,OUR LADY OF THE LAKE REG MED CTR,NLP,NLP,NLP,79,06/06/2022 12:00:00 AM
2022-06-11T04-15-14,70808,OUR LADY OF THE LAKE REG MED CTR,NLP,NLP,NLP,79,06/06/2022 12:00:00 AM
2022-06-12T04-15-15,70808,OUR LADY OF THE LAKE REG MED CTR,NLP,NLP,NLP,79,06/06/2022 12:00:00 AM
2022-06-13T04-15-40,70808,OUR LADY OF THE LAKE REG MED CTR,NLP,NLP,NLP,79,06/06/2022 12:00:00 AM
2022-06-14T04-15-16,70808,OUR LADY OF THE LAKE REG MED CTR,NLP,NLP,NLP,64,06/13/2022 12:00:00 AM
2022-06-15T04-15-27,70808,OUR LADY OF THE LAKE REG MED CTR,NLP,NLP,NLP,64,06/13/2022 12:00:00 AM
2022-06-16T04-15-45,70808,OUR LADY OF THE LAKE REG MED CTR,NLP,NLP,NLP,64,06/13/2022 12:00:00 AM
2022-06-17T04-15-27,70808,OUR LADY OF THE LAKE REG MED CTR,NLP,NLP,NLP,64,06/13/2022 12:00:00 AM
2022-06-18T04-15-18,70808,OUR LADY OF THE LAKE REG MED CTR,NLP,NLP,NLP,105,06/17/2022 12:00:00 AM
2022-06-19T04-15-29,70808,OUR LADY OF THE LAKE REG MED CTR,NLP,NLP,NLP,105,06/17/2022 12:00:00 AM
2022-06-20T04-15-58,70808,OUR LADY OF THE LAKE REG MED CTR,NLP,NLP,NLP,105,06/17/2022 12:00:00 AM
2022-06-21T04-15-35,70808,OUR LADY OF THE LAKE REG MED CTR,NLP,NLP,NLP,105,06/17/2022 12:00:00 AM
2022-06-22T04-15-20,70808,OUR LADY OF THE LAKE REG MED CTR,NLP,NLP,NLP,80,06/21/2022 12:00:00 AM
2022-06-23T04-15-16,70808,OUR LADY OF THE LAKE REG MED CTR,NLP,NLP,NLP,80,06/21/2022 12:00:00 AM
2022-06-24T04-15-26,70808,OUR LADY OF THE LAKE REG MED CTR,NLP,NLP,NLP,80,06/21/2022 12:00:00 AM
2022-06-25T04-15-18,70808,OUR LADY OF THE LAKE REG MED CTR,NLP,NLP,NLP,80,06/21/2022 12:00:00 AM
2022-06-26T04-15-17,70808,OUR LADY OF THE LAKE REG MED CTR,NLP,NLP,NLP,80,06/21/2022 12:00:00 AM
2022-06-27T04-15-31,70808,OUR LADY OF THE LAKE REG MED CTR,NLP,NLP,NLP,80,06/21/2022 12:00:00 AM
2022-06-28T04-15-44,70808,OUR LADY OF THE LAKE REG MED CTR,NLP,NLP,NLP,35,06/27/2022 12:00:00 AM
2022-06-29T04-15-40,70808,OUR LADY OF THE LAKE REG MED CTR,NLP,NLP,NLP,35,06/27/2022 12:00:00 AM
2022-06-30T04-15-32,70808,OUR LADY OF THE LAKE REG MED CTR,NLP,NLP,NLP,35,06/27/2022 12:00:00 AM
2022-07-01T04-15-22,70808,OUR LADY OF THE LAKE REG MED CTR,NLP,NLP,NLP,35,06/27/2022 12:00:00 AM
2022-07-03T14-40-38,70808,OUR LADY OF THE LAKE REG MED CTR,NLP,NLP,NLP,35,06/27/2022 12:00:00 AM
2022-07-04T04-15-29,70808,OUR LADY OF THE LAKE REG MED CTR,NLP,NLP,NLP,35,06/27/2022 12:00:00 AM
2022-07-05T04-15-18,70808,OUR LADY OF THE LAKE REG MED CTR,NLP,NLP,NLP,35,06/27/2022 12:00:00 AM
2022-07-06T04-15-19,70808,OUR LADY OF THE LAKE REG MED CTR,NLP,NLP,NLP,43,07/06/2022 12:00:00 AM
2022-07-07T04-15-17,70808,OUR LADY OF THE LAKE REG MED CTR,NLP,NLP,NLP,43,07/06/2022 12:00:00 AM
2022-07-07T13-15-18,70808,OUR LADY OF THE LAKE REG MED CTR,NLP,NLP,NLP,43,07/06/2022 12:00:00 AM
2022-07-08T04-15-19,70808,OUR LADY OF THE LAKE REG MED CTR,NLP,NLP,NLP,43,07/06/2022 12:00:00 AM
2022-07-09T04-15-19,70808,OUR LADY OF THE LAKE REG MED CTR,NLP,NLP,NLP,43,07/06/2022 12:00:00 AM
2022-07-10T04-15-26,70808,OUR LADY OF THE LAKE REG MED CTR,NLP,NLP,NLP,43,07/06/2022 12:00:00 AM
2022-07-11T04-15-25,70808,OUR LADY OF THE LAKE REG MED CTR,NLP,NLP,NLP,43,07/06/2022 12:00:00 AM
2022-07-12T04-15-22,70808,OUR LADY OF THE LAKE REG MED CTR,NLP,NLP,NLP,118,07/11/2022 12:00:00 AM
2022-07-13T04-15-22,70808,OUR LADY OF THE LAKE REG MED CTR,NLP,NLP,NLP,118,07/11/2022 12:00:00 AM
2022-07-14T04-15-29,70808,OUR LADY OF THE LAKE REG MED CTR,NLP,NLP,NLP,118,07/11/2022 12:00:00 AM
2022-07-15T04-15-46,70808,OUR LADY OF THE LAKE REG MED CTR,NLP,NLP,NLP,118,07/11/2022 12:00:00 AM
2022-07-17T04-15-18,70808,OUR LADY OF THE LAKE REG MED CTR,NLP,NLP,NLP,118,07/11/2022 12:00:00 AM
2022-07-18T04-15-21,70808,OUR LADY OF THE LAKE REG MED CTR,NLP,NLP,NLP,118,07/11/2022 12:00:00 AM
2022-07-18T07-55-19,70808,OUR LADY OF THE LAKE REG MED CTR,NLP,NLP,NLP,118,07/11/2022 12:00:00 AM
2022-07-19T04-15-25,70808,OUR LADY OF THE LAKE REG MED CTR,NLP,NLP,NLP,118,07/11/2022 12:00:00 AM
2022-07-20T04-15-41,70808,OUR LADY OF THE LAKE REG MED CTR,NLP,NLP,NLP,118,07/11/2022 12:00:00 AM
2022-07-21T04-15-40,70808,OUR LADY OF THE LAKE REG MED CTR,NLP,NLP,NLP,55,07/20/2022 12:00:00 AM
