2022-02-18T16-04-21,71105,CHRISTUS SHREVEPORT BOSSIER,02/14/2022 12:00:00 AM,,20,0,02/15/2022 12:00:00 AM
2022-03-03T09-56-49,71105,CHRISTUS SHREVEPORT BOSSIER,02/28/2022 12:00:00 AM,,70,20,02/21/2022 12:00:00 AM
2022-03-03T10-04-44,71105,CHRISTUS SHREVEPORT BOSSIER,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,70,45,03/01/2022 12:00:00 AM
2022-03-08T14-40-56,71105,CHRISTUS SHREVEPORT BOSSIER,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,70,45,03/01/2022 12:00:00 AM
2022-03-16T18-51-35,71105,CHRISTUS SHREVEPORT BOSSIER,NLP,NLP,NLP,67,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,71105,CHRISTUS SHREVEPORT BOSSIER,NLP,NLP,NLP,67,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,71105,CHRISTUS SHREVEPORT BOSSIER,NLP,NLP,NLP,67,03/09/2022 12:00:00 AM
2022-03-19T08-15-59,71105,CHRISTUS SHREVEPORT BOSSIER,NLP,NLP,NLP,117,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,71105,CHRISTUS SHREVEPORT BOSSIER,NLP,NLP,NLP,117,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,71105,CHRISTUS SHREVEPORT BOSSIER,NLP,NLP,NLP,117,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,71105,CHRISTUS SHREVEPORT BOSSIER,NLP,NLP,NLP,117,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,71105,CHRISTUS SHREVEPORT BOSSIER,NLP,NLP,NLP,117,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,71105,CHRISTUS SHREVEPORT BOSSIER,NLP,NLP,NLP,117,03/18/2022 12:00:00 AM
2022-03-22T09-16-18,71105,CHRISTUS SHREVEPORT BOSSIER,NLP,NLP,NLP,117,03/18/2022 12:00:00 AM
2022-03-23T08-41-43,71105,CHRISTUS SHREVEPORT BOSSIER,NLP,NLP,NLP,117,03/18/2022 12:00:00 AM
2022-03-24T07-49-11,71105,CHRISTUS SHREVEPORT BOSSIER,NLP,NLP,NLP,117,03/18/2022 12:00:00 AM
2022-03-24T13-46-29,71105,CHRISTUS SHREVEPORT BOSSIER,NLP,NLP,NLP,117,03/18/2022 12:00:00 AM
2022-03-25T08-10-53,71105,CHRISTUS SHREVEPORT BOSSIER,NLP,NLP,NLP,117,03/18/2022 12:00:00 AM
2022-03-28T06-21-17,71105,CHRISTUS SHREVEPORT BOSSIER,NLP,NLP,NLP,117,03/18/2022 12:00:00 AM
2022-03-29T08-50-48,71105,CHRISTUS SHREVEPORT BOSSIER,NLP,NLP,NLP,117,03/18/2022 12:00:00 AM
2022-03-30T09-27-07,71105,CHRISTUS SHREVEPORT BOSSIER,NLP,NLP,NLP,117,03/18/2022 12:00:00 AM
2022-03-31T08-53-07,71105,CHRISTUS SHREVEPORT BOSSIER,NLP,NLP,NLP,117,03/18/2022 12:00:00 AM
2022-03-31T15-09-22,71105,CHRISTUS SHREVEPORT BOSSIER,NLP,NLP,NLP,117,03/18/2022 12:00:00 AM
2022-04-01T06-54-45,71105,CHRISTUS SHREVEPORT BOSSIER,NLP,NLP,NLP,117,03/18/2022 12:00:00 AM
2022-04-02T06-05-59,71105,CHRISTUS SHREVEPORT BOSSIER,NLP,NLP,NLP,117,03/18/2022 12:00:00 AM
2022-04-03T05-51-54,71105,CHRISTUS SHREVEPORT BOSSIER,NLP,NLP,NLP,117,03/18/2022 12:00:00 AM
2022-04-04T05-38-24,71105,CHRISTUS SHREVEPORT BOSSIER,NLP,NLP,NLP,117,03/18/2022 12:00:00 AM
2022-04-05T05-48-33,71105,CHRISTUS SHREVEPORT BOSSIER,NLP,NLP,NLP,117,03/18/2022 12:00:00 AM
2022-04-06T05-45-18,71105,CHRISTUS SHREVEPORT BOSSIER,NLP,NLP,NLP,117,03/18/2022 12:00:00 AM
2022-04-07T05-34-07,71105,CHRISTUS SHREVEPORT BOSSIER,NLP,NLP,NLP,117,03/18/2022 12:00:00 AM
2022-04-08T05-48-29,71105,CHRISTUS SHREVEPORT BOSSIER,NLP,NLP,NLP,117,03/18/2022 12:00:00 AM
2022-04-09T05-41-09,71105,CHRISTUS SHREVEPORT BOSSIER,NLP,NLP,NLP,117,03/18/2022 12:00:00 AM
2022-04-10T09-31-27,71105,CHRISTUS SHREVEPORT BOSSIER,NLP,NLP,NLP,117,03/18/2022 12:00:00 AM
2022-04-11T07-06-23,71105,CHRISTUS SHREVEPORT BOSSIER,NLP,NLP,NLP,117,03/18/2022 12:00:00 AM
2022-04-12T07-06-55,71105,CHRISTUS SHREVEPORT BOSSIER,NLP,NLP,NLP,117,03/18/2022 12:00:00 AM
2022-04-13T09-20-57,71105,CHRISTUS SHREVEPORT BOSSIER,NLP,NLP,NLP,117,03/18/2022 12:00:00 AM
2022-04-13T11-55-39,71105,CHRISTUS SHREVEPORT BOSSIER,NLP,NLP,NLP,117,03/18/2022 12:00:00 AM
2022-04-14T09-18-06,71105,CHRISTUS SHREVEPORT BOSSIER,NLP,NLP,NLP,117,03/18/2022 12:00:00 AM
2022-04-15T06-03-51,71105,CHRISTUS SHREVEPORT BOSSIER,NLP,NLP,NLP,117,03/18/2022 12:00:00 AM
2022-04-16T05-33-42,71105,CHRISTUS SHREVEPORT BOSSIER,NLP,NLP,NLP,117,03/18/2022 12:00:00 AM
2022-04-17T05-32-24,71105,CHRISTUS SHREVEPORT BOSSIER,NLP,NLP,NLP,117,03/18/2022 12:00:00 AM
2022-04-18T05-31-10,71105,CHRISTUS SHREVEPORT BOSSIER,NLP,NLP,NLP,117,03/18/2022 12:00:00 AM
2022-04-19T05-39-24,71105,CHRISTUS SHREVEPORT BOSSIER,NLP,NLP,NLP,117,03/18/2022 12:00:00 AM
2022-04-20T05-27-37,71105,CHRISTUS SHREVEPORT BOSSIER,NLP,NLP,NLP,117,03/18/2022 12:00:00 AM
2022-04-21T05-29-54,71105,CHRISTUS SHREVEPORT BOSSIER,NLP,NLP,NLP,117,03/18/2022 12:00:00 AM
2022-04-22T05-26-18,71105,CHRISTUS SHREVEPORT BOSSIER,NLP,NLP,NLP,117,03/18/2022 12:00:00 AM
2022-04-23T05-25-10,71105,CHRISTUS SHREVEPORT BOSSIER,NLP,NLP,NLP,117,03/18/2022 12:00:00 AM
2022-04-24T05-22-24,71105,CHRISTUS SHREVEPORT BOSSIER,NLP,NLP,NLP,117,03/18/2022 12:00:00 AM
2022-04-25T05-22-33,71105,CHRISTUS SHREVEPORT BOSSIER,NLP,NLP,NLP,117,03/18/2022 12:00:00 AM
2022-04-26T05-20-54,71105,CHRISTUS SHREVEPORT BOSSIER,NLP,NLP,NLP,117,03/18/2022 12:00:00 AM
2022-04-27T05-23-49,71105,CHRISTUS SHREVEPORT BOSSIER,NLP,NLP,NLP,117,03/18/2022 12:00:00 AM
2022-04-28T09-22-45,71105,CHRISTUS SHREVEPORT BOSSIER,NLP,NLP,NLP,117,03/18/2022 12:00:00 AM
2022-04-29T05-13-54,71105,CHRISTUS SHREVEPORT BOSSIER,NLP,NLP,NLP,117,03/18/2022 12:00:00 AM
