2022-02-18T16-04-21,71241,UNION GENERAL HOSPITAL PHARMACY,02/15/2022 12:00:00 AM,,5,0,02/18/2022 12:00:00 AM
2022-03-03T09-56-49,71241,UNION GENERAL HOSPITAL PHARMACY,02/28/2022 12:00:00 AM,,10,5,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,71241,UNION GENERAL HOSPITAL PHARMACY,02/28/2022 12:00:00 AM,02/18/2022 12:00:00 AM,10,5,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,71241,UNION GENERAL HOSPITAL PHARMACY,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,10,10,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,71241,UNION GENERAL HOSPITAL PHARMACY,NLP,NLP,NLP,15,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,71241,UNION GENERAL HOSPITAL PHARMACY,NLP,NLP,NLP,15,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,71241,UNION GENERAL HOSPITAL PHARMACY,NLP,NLP,NLP,15,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,71241,UNION GENERAL HOSPITAL PHARMACY,NLP,NLP,NLP,15,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,71241,UNION GENERAL HOSPITAL PHARMACY,NLP,NLP,NLP,15,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,71241,UNION GENERAL HOSPITAL PHARMACY,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,71241,UNION GENERAL HOSPITAL PHARMACY,NLP,NLP,NLP,15,03/19/2022 12:00:00 AM
2022-03-20T06-05-37,71241,UNION GENERAL HOSPITAL PHARMACY,NLP,NLP,NLP,15,03/19/2022 12:00:00 AM
2022-03-21T06-11-50,71241,UNION GENERAL HOSPITAL PHARMACY,NLP,NLP,NLP,15,03/20/2022 12:00:00 AM
2022-03-21T14-18-38,71241,UNION GENERAL HOSPITAL PHARMACY,NLP,NLP,NLP,15,03/20/2022 12:00:00 AM
2022-03-21T16-35-27,71241,UNION GENERAL HOSPITAL PHARMACY,NLP,NLP,NLP,15,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,71241,UNION GENERAL HOSPITAL PHARMACY,NLP,NLP,NLP,15,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,71241,UNION GENERAL HOSPITAL PHARMACY,NLP,NLP,NLP,15,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,71241,UNION GENERAL HOSPITAL PHARMACY,NLP,NLP,NLP,15,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,71241,UNION GENERAL HOSPITAL PHARMACY,NLP,NLP,NLP,15,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,71241,UNION GENERAL HOSPITAL PHARMACY,NLP,NLP,NLP,15,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,71241,UNION GENERAL HOSPITAL PHARMACY,NLP,NLP,NLP,15,03/25/2022 12:00:00 AM
