2022-02-18T16-04-21,71322,BUNKIE GENERAL HOSPITAL,02/14/2022 12:00:00 AM,,5,,
2022-03-03T09-56-49,71322,BUNKIE GENERAL HOSPITAL,02/28/2022 12:00:00 AM,,15,,
2022-03-03T10-04-44,71322,BUNKIE GENERAL HOSPITAL,02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,15,,
2022-03-08T14-40-56,71322,BUNKIE GENERAL HOSPITAL,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,15,,
2022-06-28T04-15-44,71322,BUNKIE GENERAL HOSPITAL,NLP,NLP,NLP,5,06/27/2022 12:00:00 AM
2022-06-29T04-15-40,71322,BUNKIE GENERAL HOSPITAL,NLP,NLP,NLP,5,06/27/2022 12:00:00 AM
2022-06-30T04-15-32,71322,BUNKIE GENERAL HOSPITAL,NLP,NLP,NLP,5,06/27/2022 12:00:00 AM
2022-07-01T04-15-22,71322,BUNKIE GENERAL HOSPITAL,NLP,NLP,NLP,2,06/30/2022 12:00:00 AM
2022-07-03T14-40-38,71322,BUNKIE GENERAL HOSPITAL,NLP,NLP,NLP,2,06/30/2022 12:00:00 AM
2022-07-04T04-15-29,71322,BUNKIE GENERAL HOSPITAL,NLP,NLP,NLP,2,06/30/2022 12:00:00 AM
2022-07-05T04-15-18,71322,BUNKIE GENERAL HOSPITAL,NLP,NLP,NLP,2,06/30/2022 12:00:00 AM
2022-07-19T04-15-25,71322,BUNKIE GENERAL HOSPITAL,NLP,NLP,NLP,10,07/18/2022 12:00:00 AM
2022-07-20T04-15-41,71322,BUNKIE GENERAL HOSPITAL,NLP,NLP,NLP,10,07/18/2022 12:00:00 AM
2022-07-21T04-15-40,71322,BUNKIE GENERAL HOSPITAL,NLP,NLP,NLP,10,07/18/2022 12:00:00 AM
2022-07-22T04-15-29,71322,BUNKIE GENERAL HOSPITAL,NLP,NLP,NLP,10,07/18/2022 12:00:00 AM
