2022-02-18T16-04-21,71463,"CLHG - OAKDALE, LLC",02/14/2022 12:00:00 AM,,5,,
2022-03-03T09-56-49,71463,"CLHG - OAKDALE, LLC",02/28/2022 12:00:00 AM,,15,,
2022-03-03T10-04-44,71463,"CLHG - OAKDALE, LLC",02/28/2022 12:00:00 AM,02/23/2022 12:00:00 AM,15,,
2022-03-08T14-40-56,71463,"CLHG - OAKDALE, LLC",02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,15,,
2022-05-25T05-39-27,71463,"CLHG - OAKDALE, LLC",NLP,NLP,NLP,10,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,71463,"CLHG - OAKDALE, LLC",NLP,NLP,NLP,10,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,71463,"CLHG - OAKDALE, LLC",NLP,NLP,NLP,10,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,71463,"CLHG - OAKDALE, LLC",NLP,NLP,NLP,10,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,71463,"CLHG - OAKDALE, LLC",NLP,NLP,NLP,10,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,71463,"CLHG - OAKDALE, LLC",NLP,NLP,NLP,10,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,71463,"CLHG - OAKDALE, LLC",NLP,NLP,NLP,10,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,71463,"CLHG - OAKDALE, LLC",NLP,NLP,NLP,10,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,71463,"CLHG - OAKDALE, LLC",NLP,NLP,NLP,10,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,71463,"CLHG - OAKDALE, LLC",NLP,NLP,NLP,10,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,71463,"CLHG - OAKDALE, LLC",NLP,NLP,NLP,10,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,71463,"CLHG - OAKDALE, LLC",NLP,NLP,NLP,10,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,71463,"CLHG - OAKDALE, LLC",NLP,NLP,NLP,10,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,71463,"CLHG - OAKDALE, LLC",NLP,NLP,NLP,10,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,71463,"CLHG - OAKDALE, LLC",NLP,NLP,NLP,10,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,71463,"CLHG - OAKDALE, LLC",NLP,NLP,NLP,10,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,71463,"CLHG - OAKDALE, LLC",NLP,NLP,NLP,10,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,71463,"CLHG - OAKDALE, LLC",NLP,NLP,NLP,10,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,71463,"CLHG - OAKDALE, LLC",NLP,NLP,NLP,10,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,71463,"CLHG - OAKDALE, LLC",NLP,NLP,NLP,10,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,71463,"CLHG - OAKDALE, LLC",NLP,NLP,NLP,10,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,71463,"CLHG - OAKDALE, LLC",NLP,NLP,NLP,10,05/24/2022 12:00:00 AM
