2022-03-08T14-40-56,71753,MAGNOLIA REGIONAL MEDICAL CENTER,03/01/2022 12:00:00 AM,03/04/2022 12:00:00 AM,10,10,03/04/2022 12:00:00 AM
2022-03-16T18-51-35,71753,MAGNOLIA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,10,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,71753,MAGNOLIA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,10,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,71753,MAGNOLIA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,10,03/09/2022 12:00:00 AM
2022-03-29T08-50-48,71753,MAGNOLIA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,10,03/09/2022 12:00:00 AM
2022-03-30T09-27-07,71753,MAGNOLIA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,10,03/09/2022 12:00:00 AM
2022-03-31T08-53-07,71753,MAGNOLIA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,10,03/09/2022 12:00:00 AM
2022-03-31T15-09-22,71753,MAGNOLIA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,10,03/09/2022 12:00:00 AM
2022-04-01T06-54-45,71753,MAGNOLIA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,10,03/09/2022 12:00:00 AM
2022-04-02T06-05-59,71753,MAGNOLIA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,10,03/09/2022 12:00:00 AM
2022-04-03T05-51-54,71753,MAGNOLIA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,10,03/09/2022 12:00:00 AM
2022-04-04T05-38-24,71753,MAGNOLIA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,10,03/09/2022 12:00:00 AM
2022-04-05T05-48-33,71753,MAGNOLIA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,10,03/09/2022 12:00:00 AM
2022-04-06T05-45-18,71753,MAGNOLIA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,10,03/09/2022 12:00:00 AM
2022-04-07T05-34-07,71753,MAGNOLIA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,10,03/09/2022 12:00:00 AM
2022-04-08T05-48-29,71753,MAGNOLIA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,10,03/09/2022 12:00:00 AM
2022-04-09T05-41-09,71753,MAGNOLIA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,10,03/09/2022 12:00:00 AM
2022-04-10T09-31-27,71753,MAGNOLIA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,10,03/09/2022 12:00:00 AM
2022-04-11T07-06-23,71753,MAGNOLIA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,10,03/09/2022 12:00:00 AM
2022-04-12T07-06-55,71753,MAGNOLIA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,10,03/09/2022 12:00:00 AM
2022-04-13T09-20-57,71753,MAGNOLIA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,10,03/09/2022 12:00:00 AM
2022-04-13T11-55-39,71753,MAGNOLIA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,10,03/09/2022 12:00:00 AM
2022-04-14T09-18-06,71753,MAGNOLIA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,10,03/09/2022 12:00:00 AM
2022-04-15T06-03-51,71753,MAGNOLIA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,10,03/09/2022 12:00:00 AM
2022-04-16T05-33-42,71753,MAGNOLIA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,10,03/09/2022 12:00:00 AM
2022-04-17T05-32-24,71753,MAGNOLIA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,10,03/09/2022 12:00:00 AM
2022-04-18T05-31-10,71753,MAGNOLIA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,10,03/09/2022 12:00:00 AM
2022-04-19T05-39-24,71753,MAGNOLIA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,10,03/09/2022 12:00:00 AM
2022-04-20T05-27-37,71753,MAGNOLIA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,10,03/09/2022 12:00:00 AM
2022-04-21T05-29-54,71753,MAGNOLIA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,10,03/09/2022 12:00:00 AM
2022-04-22T05-26-18,71753,MAGNOLIA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,10,03/09/2022 12:00:00 AM
2022-04-23T05-25-10,71753,MAGNOLIA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,10,03/09/2022 12:00:00 AM
2022-04-24T05-22-24,71753,MAGNOLIA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,10,03/09/2022 12:00:00 AM
2022-04-25T05-22-33,71753,MAGNOLIA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,10,03/09/2022 12:00:00 AM
2022-04-26T05-20-54,71753,MAGNOLIA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,10,03/09/2022 12:00:00 AM
2022-04-27T05-23-49,71753,MAGNOLIA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,10,03/09/2022 12:00:00 AM
2022-04-28T09-22-45,71753,MAGNOLIA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,10,03/09/2022 12:00:00 AM
2022-04-29T05-13-54,71753,MAGNOLIA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,10,03/09/2022 12:00:00 AM
2022-04-30T05-15-55,71753,MAGNOLIA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,10,03/09/2022 12:00:00 AM
2022-07-17T04-15-18,71753,MAGNOLIA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,5,07/15/2022 12:00:00 AM
2022-07-18T04-15-21,71753,MAGNOLIA REGIONAL MEDICAL CENTER,NLP,NLP,NLP,5,07/15/2022 12:00:00 AM
