2022-02-18T16-04-21,72023,CABOT EMERGENCY HOSPITAL,02/16/2022 12:00:00 AM,,10,10,02/18/2022 12:00:00 AM
2022-03-03T09-56-49,72023,CABOT EMERGENCY HOSPITAL,02/22/2022 12:00:00 AM,,30,30,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,72023,CABOT EMERGENCY HOSPITAL,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,30,30,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,72023,CABOT EMERGENCY HOSPITAL,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,30,30,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,72023,CABOT EMERGENCY HOSPITAL,NLP,NLP,NLP,30,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,72023,CABOT EMERGENCY HOSPITAL,NLP,NLP,NLP,30,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,72023,CABOT EMERGENCY HOSPITAL,NLP,NLP,NLP,30,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,72023,CABOT EMERGENCY HOSPITAL,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,72023,CABOT EMERGENCY HOSPITAL,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,72023,CABOT EMERGENCY HOSPITAL,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,72023,CABOT EMERGENCY HOSPITAL,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-03-20T06-05-37,72023,CABOT EMERGENCY HOSPITAL,NLP,NLP,NLP,30,03/19/2022 12:00:00 AM
