2022-03-03T09-56-49,72501,WHITE RIVER MED CENTER,02/22/2022 12:00:00 AM,,10,10,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,72501,WHITE RIVER MED CENTER,03/01/2022 12:00:00 AM,02/25/2022 12:00:00 AM,30,10,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,72501,WHITE RIVER MED CENTER,03/01/2022 12:00:00 AM,03/03/2022 12:00:00 AM,30,10,03/04/2022 12:00:00 AM
2022-03-16T18-51-35,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,03/14/2022 12:00:00 AM
2022-03-18T11-03-37,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,03/14/2022 12:00:00 AM
2022-03-18T11-17-38,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,03/18/2022 12:00:00 AM
2022-03-22T09-16-18,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,03/21/2022 12:00:00 AM
2022-03-24T07-49-11,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,03/21/2022 12:00:00 AM
2022-03-24T13-46-29,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,03/29/2022 12:00:00 AM
2022-03-31T15-09-22,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,03/29/2022 12:00:00 AM
2022-04-01T06-54-45,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,03/29/2022 12:00:00 AM
2022-04-02T06-05-59,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,04/01/2022 12:00:00 AM
2022-04-06T05-45-18,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,04/01/2022 12:00:00 AM
2022-04-07T05-34-07,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,04/01/2022 12:00:00 AM
2022-04-08T05-48-29,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,04/01/2022 12:00:00 AM
2022-04-09T05-41-09,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,04/01/2022 12:00:00 AM
2022-04-10T09-31-27,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,04/01/2022 12:00:00 AM
2022-04-11T07-06-23,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,04/01/2022 12:00:00 AM
2022-04-12T07-06-55,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,04/01/2022 12:00:00 AM
2022-04-13T09-20-57,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,04/01/2022 12:00:00 AM
2022-04-13T11-55-39,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,04/01/2022 12:00:00 AM
2022-04-14T09-18-06,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,04/01/2022 12:00:00 AM
2022-04-15T06-03-51,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,04/01/2022 12:00:00 AM
2022-04-16T05-33-42,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,04/01/2022 12:00:00 AM
2022-04-17T05-32-24,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,04/01/2022 12:00:00 AM
2022-04-18T05-31-10,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,04/01/2022 12:00:00 AM
2022-04-19T05-39-24,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,04/01/2022 12:00:00 AM
2022-04-20T05-27-37,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,04/01/2022 12:00:00 AM
2022-04-21T05-29-54,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,04/01/2022 12:00:00 AM
2022-04-22T05-26-18,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,04/01/2022 12:00:00 AM
2022-04-23T05-25-10,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,04/01/2022 12:00:00 AM
2022-04-24T05-22-24,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,04/01/2022 12:00:00 AM
2022-04-25T05-22-33,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,04/01/2022 12:00:00 AM
2022-04-26T05-20-54,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,04/01/2022 12:00:00 AM
2022-04-27T05-23-49,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,04/01/2022 12:00:00 AM
2022-04-28T09-22-45,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,04/01/2022 12:00:00 AM
2022-04-29T05-13-54,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,04/01/2022 12:00:00 AM
2022-04-30T05-15-55,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,04/01/2022 12:00:00 AM
2022-05-28T05-34-18,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,05/27/2022 12:00:00 AM
2022-05-29T05-31-58,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,05/27/2022 12:00:00 AM
2022-05-30T05-32-42,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,05/27/2022 12:00:00 AM
2022-05-31T08-56-01,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,05/27/2022 12:00:00 AM
2022-06-01T05-37-50,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,05/27/2022 12:00:00 AM
2022-06-02T07-54-10,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,05/27/2022 12:00:00 AM
2022-06-03T08-50-11,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,05/27/2022 12:00:00 AM
2022-06-04T19-11-08,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,05/27/2022 12:00:00 AM
2022-06-05T08-48-25,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,05/27/2022 12:00:00 AM
2022-06-06T06-32-51,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,05/27/2022 12:00:00 AM
2022-06-07T05-36-41,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,05/27/2022 12:00:00 AM
2022-06-08T05-42-02,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,05/27/2022 12:00:00 AM
2022-06-09T04-15-20,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,05/27/2022 12:00:00 AM
2022-06-10T04-15-36,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,05/27/2022 12:00:00 AM
2022-06-16T04-15-45,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,06/15/2022 12:00:00 AM
2022-06-17T04-15-27,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,30,06/15/2022 12:00:00 AM
2022-06-18T04-15-18,72501,WHITE RIVER MED CENTER,NLP,NLP,NLP,20,06/17/2022 12:00:00 AM
