2022-02-18T16-04-21,72703,DELTA MEDICAL INFUSION LLC,02/16/2022 12:00:00 AM,,15,0,02/17/2022 12:00:00 AM
2022-03-03T09-56-49,72703,WASHINGTON REGIONAL MED. CNTR.,02/22/2022 12:00:00 AM,,15,15,03/01/2022 12:00:00 AM
2022-03-03T10-04-44,72703,WASHINGTON REGIONAL MED. CNTR.,03/01/2022 12:00:00 AM,02/25/2022 12:00:00 AM,30,15,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,72703,WASHINGTON REGIONAL MED. CNTR.,03/01/2022 12:00:00 AM,03/03/2022 12:00:00 AM,30,15,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,72703,WASHINGTON REGIONAL MED. CNTR.,NLP,NLP,NLP,15,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,72703,WASHINGTON REGIONAL MED. CNTR.,NLP,NLP,NLP,45,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,72703,WASHINGTON REGIONAL MED. CNTR.,NLP,NLP,NLP,45,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,72703,WASHINGTON REGIONAL MED. CNTR.,NLP,NLP,NLP,45,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,72703,WASHINGTON REGIONAL MED. CNTR.,NLP,NLP,NLP,45,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,72703,WASHINGTON REGIONAL MED. CNTR.,NLP,NLP,NLP,45,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,72703,WASHINGTON REGIONAL MED. CNTR.,NLP,NLP,NLP,45,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,72703,WASHINGTON REGIONAL MED. CNTR.,NLP,NLP,NLP,45,03/18/2022 12:00:00 AM
