2022-03-03T09-56-49,72903,MERCY COVID CLINIC FORT SMITH,02/22/2022 12:00:00 AM,,10,10,02/27/2022 12:00:00 AM
2022-03-03T10-04-44,72903,MERCY COVID CLINIC FORT SMITH,03/01/2022 12:00:00 AM,02/25/2022 12:00:00 AM,20,10,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,72903,MERCY COVID CLINIC FORT SMITH,03/01/2022 12:00:00 AM,03/03/2022 12:00:00 AM,20,20,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,72903,MERCY COVID CLINIC FORT SMITH,NLP,NLP,NLP,20,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,72903,MERCY COVID CLINIC FORT SMITH,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,72903,MERCY COVID CLINIC FORT SMITH,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,72903,MERCY COVID CLINIC FORT SMITH,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,72903,MERCY COVID CLINIC FORT SMITH,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,72903,MERCY COVID CLINIC FORT SMITH,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,72903,MERCY COVID CLINIC FORT SMITH,NLP,NLP,NLP,20,03/19/2022 12:00:00 AM
2022-03-20T06-05-37,72903,MERCY COVID CLINIC FORT SMITH,NLP,NLP,NLP,20,03/20/2022 12:00:00 AM
2022-03-21T06-11-50,72903,MERCY COVID CLINIC FORT SMITH,NLP,NLP,NLP,20,03/21/2022 12:00:00 AM
2022-03-21T14-18-38,72903,MERCY COVID CLINIC FORT SMITH,NLP,NLP,NLP,20,03/21/2022 12:00:00 AM
2022-03-21T16-35-27,72903,MERCY COVID CLINIC FORT SMITH,NLP,NLP,NLP,20,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,72903,MERCY COVID CLINIC FORT SMITH,NLP,NLP,NLP,20,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,72903,MERCY COVID CLINIC FORT SMITH,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,72903,MERCY COVID CLINIC FORT SMITH,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,72903,MERCY COVID CLINIC FORT SMITH,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,72903,MERCY COVID CLINIC FORT SMITH,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,72903,MERCY COVID CLINIC FORT SMITH,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,72903,MERCY COVID CLINIC FORT SMITH,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,72903,MERCY COVID CLINIC FORT SMITH,NLP,NLP,NLP,20,03/27/2022 12:00:00 AM
