2022-02-18T16-04-21,75246,BAYLOR UNIVERSITY MED CTR DALLAS,02/15/2022 12:00:00 AM,,20,,
2022-03-03T09-56-49,75246,BAYLOR UNIVERSITY MED CTR DALLAS,02/21/2022 12:00:00 AM,,40,40,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,75246,BAYLOR UNIVERSITY MED CTR DALLAS,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,40,40,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,75246,BAYLOR UNIVERSITY MED CTR DALLAS,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,40,40,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,75246,BAYLOR UNIVERSITY MED CTR DALLAS,NLP,NLP,NLP,39,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,75246,BAYLOR UNIVERSITY MED CTR DALLAS,NLP,NLP,NLP,39,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,75246,BAYLOR UNIVERSITY MED CTR DALLAS,NLP,NLP,NLP,39,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,75246,BAYLOR UNIVERSITY MED CTR DALLAS,NLP,NLP,NLP,39,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,75246,BAYLOR UNIVERSITY MED CTR DALLAS,NLP,NLP,NLP,39,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,75246,BAYLOR UNIVERSITY MED CTR DALLAS,NLP,NLP,NLP,39,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,75246,BAYLOR UNIVERSITY MED CTR DALLAS,NLP,NLP,NLP,39,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,75246,BAYLOR UNIVERSITY MED CTR DALLAS,NLP,NLP,NLP,39,03/19/2022 12:00:00 AM
2022-03-21T06-11-50,75246,BAYLOR UNIVERSITY MED CTR DALLAS,NLP,NLP,NLP,39,03/19/2022 12:00:00 AM
2022-03-21T14-18-38,75246,BAYLOR UNIVERSITY MED CTR DALLAS,NLP,NLP,NLP,39,03/19/2022 12:00:00 AM
2022-03-21T16-35-27,75246,BAYLOR UNIVERSITY MED CTR DALLAS,NLP,NLP,NLP,39,03/19/2022 12:00:00 AM
2022-03-22T09-16-18,75246,BAYLOR UNIVERSITY MED CTR DALLAS,NLP,NLP,NLP,39,03/19/2022 12:00:00 AM
2022-03-23T08-41-43,75246,BAYLOR UNIVERSITY MED CTR DALLAS,NLP,NLP,NLP,39,03/23/2022 12:00:00 AM
2022-03-24T07-49-11,75246,BAYLOR UNIVERSITY MED CTR DALLAS,NLP,NLP,NLP,39,03/23/2022 12:00:00 AM
2022-03-24T13-46-29,75246,BAYLOR UNIVERSITY MED CTR DALLAS,NLP,NLP,NLP,39,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,75246,BAYLOR UNIVERSITY MED CTR DALLAS,NLP,NLP,NLP,39,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,75246,BAYLOR UNIVERSITY MED CTR DALLAS,NLP,NLP,NLP,39,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,75246,BAYLOR UNIVERSITY MED CTR DALLAS,NLP,NLP,NLP,39,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,75246,BAYLOR UNIVERSITY MED CTR DALLAS,NLP,NLP,NLP,39,03/25/2022 12:00:00 AM
