2022-02-18T16-04-21,75601,CHRISTUS GOOD SHEPHERD LONGVIEW,02/14/2022 12:00:00 AM,,10,0,02/15/2022 12:00:00 AM
2022-03-08T14-40-56,75601,CHRISTUS GOOD SHEPHERD LONGVIEW,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,20,20,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,75601,CHRISTUS GOOD SHEPHERD LONGVIEW,NLP,NLP,NLP,20,03/07/2022 12:00:00 AM
2022-03-29T08-50-48,75601,CHRISTUS GOOD SHEPHERD LONGVIEW,NLP,NLP,NLP,20,03/07/2022 12:00:00 AM
2022-03-30T09-27-07,75601,CHRISTUS GOOD SHEPHERD LONGVIEW,NLP,NLP,NLP,20,03/07/2022 12:00:00 AM
2022-03-31T08-53-07,75601,CHRISTUS GOOD SHEPHERD LONGVIEW,NLP,NLP,NLP,20,03/07/2022 12:00:00 AM
2022-03-31T15-09-22,75601,CHRISTUS GOOD SHEPHERD LONGVIEW,NLP,NLP,NLP,20,03/07/2022 12:00:00 AM
2022-04-01T06-54-45,75601,CHRISTUS GOOD SHEPHERD LONGVIEW,NLP,NLP,NLP,20,03/07/2022 12:00:00 AM
2022-04-02T06-05-59,75601,CHRISTUS GOOD SHEPHERD LONGVIEW,NLP,NLP,NLP,20,03/07/2022 12:00:00 AM
2022-04-03T05-51-54,75601,CHRISTUS GOOD SHEPHERD LONGVIEW,NLP,NLP,NLP,20,03/07/2022 12:00:00 AM
2022-04-04T05-38-24,75601,CHRISTUS GOOD SHEPHERD LONGVIEW,NLP,NLP,NLP,20,03/07/2022 12:00:00 AM
2022-04-05T05-48-33,75601,CHRISTUS GOOD SHEPHERD LONGVIEW,NLP,NLP,NLP,20,03/07/2022 12:00:00 AM
2022-04-06T05-45-18,75601,CHRISTUS GOOD SHEPHERD LONGVIEW,NLP,NLP,NLP,20,03/07/2022 12:00:00 AM
2022-04-07T05-34-07,75601,CHRISTUS GOOD SHEPHERD LONGVIEW,NLP,NLP,NLP,20,03/07/2022 12:00:00 AM
2022-04-08T05-48-29,75601,CHRISTUS GOOD SHEPHERD LONGVIEW,NLP,NLP,NLP,20,03/07/2022 12:00:00 AM
2022-04-09T05-41-09,75601,CHRISTUS GOOD SHEPHERD LONGVIEW,NLP,NLP,NLP,20,03/07/2022 12:00:00 AM
2022-04-10T09-31-27,75601,CHRISTUS GOOD SHEPHERD LONGVIEW,NLP,NLP,NLP,20,03/07/2022 12:00:00 AM
2022-04-11T07-06-23,75601,CHRISTUS GOOD SHEPHERD LONGVIEW,NLP,NLP,NLP,20,03/07/2022 12:00:00 AM
2022-04-12T07-06-55,75601,CHRISTUS GOOD SHEPHERD LONGVIEW,NLP,NLP,NLP,20,03/07/2022 12:00:00 AM
2022-04-13T09-20-57,75601,CHRISTUS GOOD SHEPHERD LONGVIEW,NLP,NLP,NLP,20,03/07/2022 12:00:00 AM
2022-04-13T11-55-39,75601,CHRISTUS GOOD SHEPHERD LONGVIEW,NLP,NLP,NLP,20,03/07/2022 12:00:00 AM
