2022-02-18T16-04-21,76104,BAYLOR SCOTT WHITE ALL SAINTS,02/15/2022 12:00:00 AM,,40,,
2022-03-03T09-56-49,76104,BAYLOR SCOTT WHITE ALL SAINTS,02/21/2022 12:00:00 AM,,60,60,02/26/2022 12:00:00 AM
2022-03-03T10-04-44,76104,BAYLOR SCOTT WHITE ALL SAINTS,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,60,60,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,76104,BAYLOR SCOTT WHITE ALL SAINTS,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,60,60,03/05/2022 12:00:00 AM
2022-03-16T18-51-35,76104,BAYLOR SCOTT WHITE ALL SAINTS,NLP,NLP,NLP,60,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,76104,BAYLOR SCOTT WHITE ALL SAINTS,NLP,NLP,NLP,60,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,76104,BAYLOR SCOTT WHITE ALL SAINTS,NLP,NLP,NLP,60,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,76104,BAYLOR SCOTT WHITE ALL SAINTS,NLP,NLP,NLP,60,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,76104,BAYLOR SCOTT WHITE ALL SAINTS,NLP,NLP,NLP,60,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,76104,BAYLOR SCOTT WHITE ALL SAINTS,NLP,NLP,NLP,60,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,76104,BAYLOR SCOTT WHITE ALL SAINTS,NLP,NLP,NLP,60,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,76104,BAYLOR SCOTT WHITE ALL SAINTS,NLP,NLP,NLP,60,03/19/2022 12:00:00 AM
2022-03-21T06-11-50,76104,BAYLOR SCOTT WHITE ALL SAINTS,NLP,NLP,NLP,60,03/19/2022 12:00:00 AM
2022-03-21T14-18-38,76104,BAYLOR SCOTT WHITE ALL SAINTS,NLP,NLP,NLP,60,03/19/2022 12:00:00 AM
