2022-02-18T16-04-21,76508,BAYLOR SCOTT WHITE MC TEMPLE,02/15/2022 12:00:00 AM,,70,70,02/18/2022 12:00:00 AM
2022-03-03T09-56-49,76508,BAYLOR SCOTT WHITE MC TEMPLE,02/21/2022 12:00:00 AM,,90,90,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,76508,BAYLOR SCOTT WHITE MC TEMPLE,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,90,90,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,76508,BAYLOR SCOTT WHITE MC TEMPLE,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,90,90,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,76508,BAYLOR SCOTT WHITE MC TEMPLE,NLP,NLP,NLP,90,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,76508,BAYLOR SCOTT WHITE MC TEMPLE,NLP,NLP,NLP,90,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,76508,BAYLOR SCOTT WHITE MC TEMPLE,NLP,NLP,NLP,90,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,76508,BAYLOR SCOTT WHITE MC TEMPLE,NLP,NLP,NLP,90,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,76508,BAYLOR SCOTT WHITE MC TEMPLE,NLP,NLP,NLP,90,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,76508,BAYLOR SCOTT WHITE MC TEMPLE,NLP,NLP,NLP,90,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,76508,BAYLOR SCOTT WHITE MC TEMPLE,NLP,NLP,NLP,90,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,76508,BAYLOR SCOTT WHITE MC TEMPLE,NLP,NLP,NLP,90,03/19/2022 12:00:00 AM
2022-03-21T06-11-50,76508,BAYLOR SCOTT WHITE MC TEMPLE,NLP,NLP,NLP,90,03/19/2022 12:00:00 AM
2022-03-21T14-18-38,76508,BAYLOR SCOTT WHITE MC TEMPLE,NLP,NLP,NLP,90,03/19/2022 12:00:00 AM
2022-03-21T16-35-27,76508,BAYLOR SCOTT WHITE MC TEMPLE,NLP,NLP,NLP,90,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,76508,BAYLOR SCOTT WHITE MC TEMPLE,NLP,NLP,NLP,90,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,76508,BAYLOR SCOTT WHITE MC TEMPLE,NLP,NLP,NLP,90,03/23/2022 12:00:00 AM
