2022-02-18T16-04-21,77901,VICTORIA CO REG INF CTR VICTORIA,02/15/2022 12:00:00 AM,,140,,
2022-03-03T09-56-49,77901,VICTORIA CO REG INF CTR VICTORIA,02/21/2022 12:00:00 AM,,320,308,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,77901,VICTORIA CO REG INF CTR VICTORIA,03/01/2022 12:00:00 AM,02/23/2022 12:00:00 AM,380,308,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,77901,VICTORIA CO REG INF CTR VICTORIA,03/01/2022 12:00:00 AM,03/03/2022 12:00:00 AM,380,365,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,77901,VICTORIA CO REG INF CTR VICTORIA,NLP,NLP,NLP,361,03/12/2022 12:00:00 AM
2022-03-18T09-58-11,77901,VICTORIA CO REG INF CTR VICTORIA,NLP,NLP,NLP,361,03/16/2022 12:00:00 AM
2022-03-18T11-03-37,77901,VICTORIA CO REG INF CTR VICTORIA,NLP,NLP,NLP,361,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,77901,VICTORIA CO REG INF CTR VICTORIA,NLP,NLP,NLP,361,03/18/2022 12:00:00 AM
2022-03-18T15-22-50,77901,VICTORIA CO REG INF CTR VICTORIA,NLP,NLP,NLP,361,03/18/2022 12:00:00 AM
2022-03-19T08-15-59,77901,VICTORIA CO REG INF CTR VICTORIA,NLP,NLP,NLP,361,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,77901,VICTORIA CO REG INF CTR VICTORIA,NLP,NLP,NLP,361,03/19/2022 12:00:00 AM
2022-03-20T06-05-37,77901,VICTORIA CO REG INF CTR VICTORIA,NLP,NLP,NLP,361,03/20/2022 12:00:00 AM
2022-03-21T06-11-50,77901,VICTORIA CO REG INF CTR VICTORIA,NLP,NLP,NLP,361,03/21/2022 12:00:00 AM
2022-03-21T14-18-38,77901,VICTORIA CO REG INF CTR VICTORIA,NLP,NLP,NLP,361,03/21/2022 12:00:00 AM
2022-03-21T16-35-27,77901,VICTORIA CO REG INF CTR VICTORIA,NLP,NLP,NLP,361,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,77901,VICTORIA CO REG INF CTR VICTORIA,NLP,NLP,NLP,359,03/22/2022 12:00:00 AM
2022-03-23T08-41-43,77901,VICTORIA CO REG INF CTR VICTORIA,NLP,NLP,NLP,358,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,77901,VICTORIA CO REG INF CTR VICTORIA,NLP,NLP,NLP,358,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,77901,VICTORIA CO REG INF CTR VICTORIA,NLP,NLP,NLP,358,03/22/2022 12:00:00 AM
2022-03-25T08-10-53,77901,VICTORIA CO REG INF CTR VICTORIA,NLP,NLP,NLP,356,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,77901,VICTORIA CO REG INF CTR VICTORIA,NLP,NLP,NLP,356,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,77901,VICTORIA CO REG INF CTR VICTORIA,NLP,NLP,NLP,356,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,77901,VICTORIA CO REG INF CTR VICTORIA,NLP,NLP,NLP,356,03/27/2022 12:00:00 AM
2022-03-28T06-21-17,77901,VICTORIA CO REG INF CTR VICTORIA,NLP,NLP,NLP,356,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,77901,VICTORIA CO REG INF CTR VICTORIA,NLP,NLP,NLP,354,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,77901,VICTORIA CO REG INF CTR VICTORIA,NLP,NLP,NLP,354,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,77901,VICTORIA CO REG INF CTR VICTORIA,NLP,NLP,NLP,354,03/31/2022 12:00:00 AM
2022-03-31T15-09-22,77901,VICTORIA CO REG INF CTR VICTORIA,NLP,NLP,NLP,354,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,77901,VICTORIA CO REG INF CTR VICTORIA,NLP,NLP,NLP,353,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,77901,VICTORIA CO REG INF CTR VICTORIA,NLP,NLP,NLP,352,04/02/2022 12:00:00 AM
2022-04-03T05-51-54,77901,VICTORIA CO REG INF CTR VICTORIA,NLP,NLP,NLP,352,04/03/2022 12:00:00 AM
2022-04-04T05-38-24,77901,VICTORIA CO REG INF CTR VICTORIA,NLP,NLP,NLP,352,04/04/2022 12:00:00 AM
