2022-02-18T16-04-21,78572,HIDALGO CO REG INF CTR MISSION,02/15/2022 12:00:00 AM,,280,,
2022-03-03T09-56-49,78572,HIDALGO CO REG INF CTR MISSION,02/21/2022 12:00:00 AM,,540,519,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,78572,HIDALGO CO REG INF CTR MISSION,03/01/2022 12:00:00 AM,02/23/2022 12:00:00 AM,600,518,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,78572,HIDALGO CO REG INF CTR MISSION,03/01/2022 12:00:00 AM,03/03/2022 12:00:00 AM,600,575,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,78572,HIDALGO CO REG INF CTR MISSION,NLP,NLP,NLP,574,03/12/2022 12:00:00 AM
2022-03-18T09-58-11,78572,HIDALGO CO REG INF CTR MISSION,NLP,NLP,NLP,571,03/16/2022 12:00:00 AM
2022-03-18T11-03-37,78572,HIDALGO CO REG INF CTR MISSION,NLP,NLP,NLP,571,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,78572,HIDALGO CO REG INF CTR MISSION,NLP,NLP,NLP,569,03/18/2022 12:00:00 AM
2022-03-18T15-22-50,78572,HIDALGO CO REG INF CTR MISSION,NLP,NLP,NLP,569,03/18/2022 12:00:00 AM
2022-03-19T08-15-59,78572,HIDALGO CO REG INF CTR MISSION,NLP,NLP,NLP,569,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,78572,HIDALGO CO REG INF CTR MISSION,NLP,NLP,NLP,569,03/19/2022 12:00:00 AM
2022-03-20T06-05-37,78572,HIDALGO CO REG INF CTR MISSION,NLP,NLP,NLP,569,03/20/2022 12:00:00 AM
2022-03-21T06-11-50,78572,HIDALGO CO REG INF CTR MISSION,NLP,NLP,NLP,569,03/21/2022 12:00:00 AM
2022-03-21T14-18-38,78572,HIDALGO CO REG INF CTR MISSION,NLP,NLP,NLP,569,03/21/2022 12:00:00 AM
2022-03-21T16-35-27,78572,HIDALGO CO REG INF CTR MISSION,NLP,NLP,NLP,569,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,78572,HIDALGO CO REG INF CTR MISSION,NLP,NLP,NLP,568,03/22/2022 12:00:00 AM
2022-03-23T08-41-43,78572,HIDALGO CO REG INF CTR MISSION,NLP,NLP,NLP,566,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,78572,HIDALGO CO REG INF CTR MISSION,NLP,NLP,NLP,566,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,78572,HIDALGO CO REG INF CTR MISSION,NLP,NLP,NLP,566,03/22/2022 12:00:00 AM
2022-03-25T08-10-53,78572,HIDALGO CO REG INF CTR MISSION,NLP,NLP,NLP,565,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,78572,HIDALGO CO REG INF CTR MISSION,NLP,NLP,NLP,565,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,78572,HIDALGO CO REG INF CTR MISSION,NLP,NLP,NLP,565,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,78572,HIDALGO CO REG INF CTR MISSION,NLP,NLP,NLP,564,03/27/2022 12:00:00 AM
2022-03-28T06-21-17,78572,HIDALGO CO REG INF CTR MISSION,NLP,NLP,NLP,564,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,78572,HIDALGO CO REG INF CTR MISSION,NLP,NLP,NLP,563,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,78572,HIDALGO CO REG INF CTR MISSION,NLP,NLP,NLP,561,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,78572,HIDALGO CO REG INF CTR MISSION,NLP,NLP,NLP,561,03/31/2022 12:00:00 AM
2022-03-31T15-09-22,78572,HIDALGO CO REG INF CTR MISSION,NLP,NLP,NLP,561,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,78572,HIDALGO CO REG INF CTR MISSION,NLP,NLP,NLP,561,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,78572,HIDALGO CO REG INF CTR MISSION,NLP,NLP,NLP,561,04/02/2022 12:00:00 AM
2022-04-03T05-51-54,78572,HIDALGO CO REG INF CTR MISSION,NLP,NLP,NLP,561,04/03/2022 12:00:00 AM
2022-04-04T05-38-24,78572,HIDALGO CO REG INF CTR MISSION,NLP,NLP,NLP,561,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,78572,HIDALGO CO REG INF CTR MISSION,NLP,NLP,NLP,560,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,78572,HIDALGO CO REG INF CTR MISSION,NLP,NLP,NLP,557,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,78572,HIDALGO CO REG INF CTR MISSION,NLP,NLP,NLP,553,04/06/2022 12:00:00 AM
