2022-02-18T16-04-21,79412,WEBB CO REG INF CTR LUBBOCK,02/15/2022 12:00:00 AM,,280,,
2022-03-03T09-56-49,79412,WEBB CO REG INF CTR LUBBOCK,02/21/2022 12:00:00 AM,,540,516,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,79412,WEBB CO REG INF CTR LUBBOCK,03/01/2022 12:00:00 AM,02/23/2022 12:00:00 AM,600,507,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,79412,WEBB CO REG INF CTR LUBBOCK,03/01/2022 12:00:00 AM,03/03/2022 12:00:00 AM,600,564,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,564,03/12/2022 12:00:00 AM
2022-03-18T09-58-11,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,562,03/16/2022 12:00:00 AM
2022-03-18T11-03-37,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,562,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,562,03/18/2022 12:00:00 AM
2022-03-18T15-22-50,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,562,03/18/2022 12:00:00 AM
2022-03-19T08-15-59,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,562,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,562,03/19/2022 12:00:00 AM
2022-03-20T06-05-37,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,562,03/20/2022 12:00:00 AM
2022-03-21T06-11-50,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,562,03/21/2022 12:00:00 AM
2022-03-21T14-18-38,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,562,03/21/2022 12:00:00 AM
2022-03-21T16-35-27,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,562,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,562,03/22/2022 12:00:00 AM
2022-03-23T08-41-43,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,562,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,562,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,562,03/22/2022 12:00:00 AM
2022-03-25T08-10-53,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,562,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,562,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,562,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,562,03/27/2022 12:00:00 AM
2022-03-28T06-21-17,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,562,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,562,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,562,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,562,03/31/2022 12:00:00 AM
2022-03-31T15-09-22,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,562,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,562,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,562,04/02/2022 12:00:00 AM
2022-04-03T05-51-54,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,562,04/03/2022 12:00:00 AM
2022-04-04T05-38-24,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,562,04/04/2022 12:00:00 AM
2022-04-05T05-48-33,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,562,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,562,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,562,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,561,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,560,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,556,04/10/2022 12:00:00 AM
2022-04-11T07-06-23,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,556,04/11/2022 12:00:00 AM
2022-04-12T07-06-55,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,554,04/12/2022 12:00:00 AM
2022-04-13T09-20-57,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,551,04/13/2022 12:00:00 AM
2022-04-13T11-55-39,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,551,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,550,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,548,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,545,04/16/2022 12:00:00 AM
2022-04-17T05-32-24,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,540,04/17/2022 12:00:00 AM
2022-04-18T05-31-10,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,540,04/17/2022 12:00:00 AM
2022-04-19T05-39-24,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,538,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,532,04/20/2022 12:00:00 AM
2022-04-21T05-29-54,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,530,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,524,04/22/2022 12:00:00 AM
2022-04-23T05-25-10,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,522,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,518,04/24/2022 12:00:00 AM
2022-04-25T05-22-33,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,518,04/24/2022 12:00:00 AM
2022-04-26T05-20-54,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,515,04/26/2022 12:00:00 AM
2022-04-27T05-23-49,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,512,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,510,04/27/2022 12:00:00 AM
2022-04-29T05-13-54,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,510,04/27/2022 12:00:00 AM
2022-04-30T05-15-55,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,510,04/27/2022 12:00:00 AM
2022-05-01T05-13-51,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,510,04/27/2022 12:00:00 AM
2022-05-02T06-02-50,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,510,04/27/2022 12:00:00 AM
2022-05-03T06-05-23,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,510,04/27/2022 12:00:00 AM
2022-05-04T05-12-02,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,495,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,490,05/05/2022 12:00:00 AM
2022-05-06T06-12-41,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,480,05/06/2022 12:00:00 AM
2022-05-07T05-45-31,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,476,05/07/2022 12:00:00 AM
2022-05-08T10-02-59,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,471,05/08/2022 12:00:00 AM
2022-05-09T05-08-14,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,468,05/09/2022 12:00:00 AM
2022-05-10T06-06-54,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,463,05/10/2022 12:00:00 AM
2022-05-11T06-51-12,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,452,05/11/2022 12:00:00 AM
2022-05-12T07-16-49,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,443,05/11/2022 12:00:00 AM
2022-05-13T06-07-31,79412,WEBB CO REG INF CTR LUBBOCK,NLP,NLP,NLP,431,05/13/2022 12:00:00 AM
