2022-03-08T14-40-56,80229,CITY OF THORNTON FIRE DEPARTMENT,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,5,,
2022-05-28T05-34-18,80229,CITY OF THORNTON FIRE DEPARTMENT,NLP,NLP,NLP,8,05/28/2022 12:00:00 AM
2022-05-29T05-31-58,80229,CITY OF THORNTON FIRE DEPARTMENT,NLP,NLP,NLP,8,05/29/2022 12:00:00 AM
2022-05-30T05-32-42,80229,CITY OF THORNTON FIRE DEPARTMENT,NLP,NLP,NLP,7,05/29/2022 12:00:00 AM
2022-05-31T08-56-01,80229,CITY OF THORNTON FIRE DEPARTMENT,NLP,NLP,NLP,7,05/31/2022 12:00:00 AM
2022-06-01T05-37-50,80229,CITY OF THORNTON FIRE DEPARTMENT,NLP,NLP,NLP,7,05/31/2022 12:00:00 AM
2022-06-02T07-54-10,80229,CITY OF THORNTON FIRE DEPARTMENT,NLP,NLP,NLP,7,06/02/2022 12:00:00 AM
2022-06-03T08-50-11,80229,CITY OF THORNTON FIRE DEPARTMENT,NLP,NLP,NLP,7,06/02/2022 12:00:00 AM
2022-06-04T19-11-08,80229,CITY OF THORNTON FIRE DEPARTMENT,NLP,NLP,NLP,8,06/03/2022 12:00:00 AM
2022-06-05T08-48-25,80229,CITY OF THORNTON FIRE DEPARTMENT,NLP,NLP,NLP,8,06/03/2022 12:00:00 AM
2022-06-06T06-32-51,80229,CITY OF THORNTON FIRE DEPARTMENT,NLP,NLP,NLP,7,06/06/2022 12:00:00 AM
2022-06-07T05-36-41,80229,CITY OF THORNTON FIRE DEPARTMENT,NLP,NLP,NLP,7,06/06/2022 12:00:00 AM
2022-06-08T05-42-02,80229,CITY OF THORNTON FIRE DEPARTMENT,NLP,NLP,NLP,7,06/06/2022 12:00:00 AM
2022-06-09T04-15-20,80229,CITY OF THORNTON FIRE DEPARTMENT,NLP,NLP,NLP,4,06/08/2022 12:00:00 AM
2022-06-10T04-15-36,80229,CITY OF THORNTON FIRE DEPARTMENT,NLP,NLP,NLP,5,06/09/2022 12:00:00 AM
2022-06-11T04-15-14,80229,CITY OF THORNTON FIRE DEPARTMENT,NLP,NLP,NLP,5,06/09/2022 12:00:00 AM
2022-06-12T04-15-15,80229,CITY OF THORNTON FIRE DEPARTMENT,NLP,NLP,NLP,3,06/12/2022 12:00:00 AM
2022-06-13T04-15-40,80229,CITY OF THORNTON FIRE DEPARTMENT,NLP,NLP,NLP,1,06/13/2022 12:00:00 AM
2022-06-17T04-15-27,80229,CITY OF THORNTON FIRE DEPARTMENT,NLP,NLP,NLP,20,06/17/2022 12:00:00 AM
2022-06-18T04-15-18,80229,CITY OF THORNTON FIRE DEPARTMENT,NLP,NLP,NLP,15,06/18/2022 12:00:00 AM
2022-06-19T04-15-29,80229,CITY OF THORNTON FIRE DEPARTMENT,NLP,NLP,NLP,15,06/18/2022 12:00:00 AM
2022-06-20T04-15-58,80229,CITY OF THORNTON FIRE DEPARTMENT,NLP,NLP,NLP,11,06/20/2022 12:00:00 AM
2022-06-21T04-15-35,80229,CITY OF THORNTON FIRE DEPARTMENT,NLP,NLP,NLP,11,06/20/2022 12:00:00 AM
2022-06-22T04-15-20,80229,CITY OF THORNTON FIRE DEPARTMENT,NLP,NLP,NLP,5,06/22/2022 12:00:00 AM
2022-06-24T04-15-26,80229,CITY OF THORNTON FIRE DEPARTMENT,NLP,NLP,NLP,14,06/24/2022 12:00:00 AM
2022-06-25T04-15-18,80229,CITY OF THORNTON FIRE DEPARTMENT,NLP,NLP,NLP,14,06/24/2022 12:00:00 AM
2022-06-26T04-15-17,80229,CITY OF THORNTON FIRE DEPARTMENT,NLP,NLP,NLP,14,06/24/2022 12:00:00 AM
2022-06-27T04-15-31,80229,CITY OF THORNTON FIRE DEPARTMENT,NLP,NLP,NLP,12,06/27/2022 12:00:00 AM
2022-06-28T04-15-44,80229,CITY OF THORNTON FIRE DEPARTMENT,NLP,NLP,NLP,12,06/27/2022 12:00:00 AM
2022-06-29T04-15-40,80229,CITY OF THORNTON FIRE DEPARTMENT,NLP,NLP,NLP,7,06/29/2022 12:00:00 AM
2022-06-30T04-15-32,80229,CITY OF THORNTON FIRE DEPARTMENT,NLP,NLP,NLP,7,06/29/2022 12:00:00 AM
2022-07-01T04-15-22,80229,CITY OF THORNTON FIRE DEPARTMENT,NLP,NLP,NLP,7,06/29/2022 12:00:00 AM
2022-07-03T14-40-38,80229,CITY OF THORNTON FIRE DEPARTMENT,NLP,NLP,NLP,15,07/02/2022 12:00:00 AM
2022-07-04T04-15-29,80229,CITY OF THORNTON FIRE DEPARTMENT,NLP,NLP,NLP,10,07/04/2022 12:00:00 AM
2022-07-05T04-15-18,80229,CITY OF THORNTON FIRE DEPARTMENT,NLP,NLP,NLP,10,07/04/2022 12:00:00 AM
2022-07-06T04-15-19,80229,CITY OF THORNTON FIRE DEPARTMENT,NLP,NLP,NLP,5,07/06/2022 12:00:00 AM
2022-07-07T04-15-17,80229,CITY OF THORNTON FIRE DEPARTMENT,NLP,NLP,NLP,5,07/06/2022 12:00:00 AM
2022-07-07T13-15-18,80229,CITY OF THORNTON FIRE DEPARTMENT,NLP,NLP,NLP,5,07/06/2022 12:00:00 AM
2022-07-08T04-15-19,80229,CITY OF THORNTON FIRE DEPARTMENT,NLP,NLP,NLP,9,07/08/2022 12:00:00 AM
2022-07-09T04-15-19,80229,CITY OF THORNTON FIRE DEPARTMENT,NLP,NLP,NLP,9,07/08/2022 12:00:00 AM
2022-07-10T04-15-26,80229,CITY OF THORNTON FIRE DEPARTMENT,NLP,NLP,NLP,3,07/10/2022 12:00:00 AM
2022-07-11T04-15-25,80229,CITY OF THORNTON FIRE DEPARTMENT,NLP,NLP,NLP,2,07/10/2022 12:00:00 AM
2022-07-17T04-15-18,80229,CITY OF THORNTON FIRE DEPARTMENT,NLP,NLP,NLP,21,07/16/2022 12:00:00 AM
2022-07-18T04-15-21,80229,CITY OF THORNTON FIRE DEPARTMENT,NLP,NLP,NLP,19,07/17/2022 12:00:00 AM
2022-07-18T07-55-19,80229,CITY OF THORNTON FIRE DEPARTMENT,NLP,NLP,NLP,21,07/16/2022 12:00:00 AM
2022-07-19T04-15-25,80229,CITY OF THORNTON FIRE DEPARTMENT,NLP,NLP,NLP,19,07/19/2022 12:00:00 AM
2022-07-20T04-15-41,80229,CITY OF THORNTON FIRE DEPARTMENT,NLP,NLP,NLP,17,07/20/2022 12:00:00 AM
2022-07-21T04-15-40,80229,CITY OF THORNTON FIRE DEPARTMENT,NLP,NLP,NLP,17,07/20/2022 12:00:00 AM
2022-07-22T04-15-29,80229,CITY OF THORNTON FIRE DEPARTMENT,NLP,NLP,NLP,27,07/22/2022 12:00:00 AM
