2022-02-18T16-04-21,83221,BINGHAM MEMORIAL HOSPITAL,02/16/2022 12:00:00 AM,,10,0,02/15/2022 12:00:00 AM
2022-03-03T09-56-49,83221,BINGHAM MEMORIAL HOSPITAL,02/24/2022 12:00:00 AM,,30,10,02/26/2022 12:00:00 AM
2022-03-03T10-04-44,83221,BINGHAM MEMORIAL HOSPITAL,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,30,30,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,83221,BINGHAM MEMORIAL HOSPITAL,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,30,30,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,83221,BINGHAM MEMORIAL HOSPITAL,NLP,NLP,NLP,30,03/07/2022 12:00:00 AM
2022-03-18T09-58-11,83221,BINGHAM MEMORIAL HOSPITAL,NLP,NLP,NLP,30,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,83221,BINGHAM MEMORIAL HOSPITAL,NLP,NLP,NLP,30,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,83221,BINGHAM MEMORIAL HOSPITAL,NLP,NLP,NLP,30,03/15/2022 12:00:00 AM
2022-03-18T15-22-50,83221,BINGHAM MEMORIAL HOSPITAL,NLP,NLP,NLP,30,03/15/2022 12:00:00 AM
2022-03-19T08-15-59,83221,BINGHAM MEMORIAL HOSPITAL,NLP,NLP,NLP,30,03/15/2022 12:00:00 AM
2022-03-19T11-58-02,83221,BINGHAM MEMORIAL HOSPITAL,NLP,NLP,NLP,30,03/15/2022 12:00:00 AM
2022-03-20T06-05-37,83221,BINGHAM MEMORIAL HOSPITAL,NLP,NLP,NLP,30,03/15/2022 12:00:00 AM
2022-03-21T06-11-50,83221,BINGHAM MEMORIAL HOSPITAL,NLP,NLP,NLP,30,03/15/2022 12:00:00 AM
2022-03-21T14-18-38,83221,BINGHAM MEMORIAL HOSPITAL,NLP,NLP,NLP,30,03/15/2022 12:00:00 AM
2022-03-21T16-35-27,83221,BINGHAM MEMORIAL HOSPITAL,NLP,NLP,NLP,30,03/15/2022 12:00:00 AM
2022-03-22T09-16-18,83221,BINGHAM MEMORIAL HOSPITAL,NLP,NLP,NLP,30,03/22/2022 12:00:00 AM
2022-03-23T08-41-43,83221,BINGHAM MEMORIAL HOSPITAL,NLP,NLP,NLP,30,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,83221,BINGHAM MEMORIAL HOSPITAL,NLP,NLP,NLP,30,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,83221,BINGHAM MEMORIAL HOSPITAL,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,83221,BINGHAM MEMORIAL HOSPITAL,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,83221,BINGHAM MEMORIAL HOSPITAL,NLP,NLP,NLP,30,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,83221,BINGHAM MEMORIAL HOSPITAL,NLP,NLP,NLP,30,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,83221,BINGHAM MEMORIAL HOSPITAL,NLP,NLP,NLP,30,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,83221,BINGHAM MEMORIAL HOSPITAL,NLP,NLP,NLP,30,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,83221,BINGHAM MEMORIAL HOSPITAL,NLP,NLP,NLP,30,03/25/2022 12:00:00 AM
2022-03-30T09-27-07,83221,BINGHAM MEMORIAL HOSPITAL,NLP,NLP,NLP,30,03/25/2022 12:00:00 AM
2022-03-31T08-53-07,83221,BINGHAM MEMORIAL HOSPITAL,NLP,NLP,NLP,30,03/25/2022 12:00:00 AM
2022-03-31T15-09-22,83221,BINGHAM MEMORIAL HOSPITAL,NLP,NLP,NLP,30,03/25/2022 12:00:00 AM
2022-04-01T06-54-45,83221,BINGHAM MEMORIAL HOSPITAL,NLP,NLP,NLP,30,03/25/2022 12:00:00 AM
2022-04-02T06-05-59,83221,BINGHAM MEMORIAL HOSPITAL,NLP,NLP,NLP,30,03/25/2022 12:00:00 AM
2022-04-03T05-51-54,83221,BINGHAM MEMORIAL HOSPITAL,NLP,NLP,NLP,30,03/25/2022 12:00:00 AM
2022-04-04T05-38-24,83221,BINGHAM MEMORIAL HOSPITAL,NLP,NLP,NLP,30,03/25/2022 12:00:00 AM
2022-04-05T05-48-33,83221,BINGHAM MEMORIAL HOSPITAL,NLP,NLP,NLP,30,03/25/2022 12:00:00 AM
2022-04-06T05-45-18,83221,BINGHAM MEMORIAL HOSPITAL,NLP,NLP,NLP,30,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,83221,BINGHAM MEMORIAL HOSPITAL,NLP,NLP,NLP,30,04/05/2022 12:00:00 AM
2022-04-08T05-48-29,83221,BINGHAM MEMORIAL HOSPITAL,NLP,NLP,NLP,30,04/05/2022 12:00:00 AM
2022-04-09T05-41-09,83221,BINGHAM MEMORIAL HOSPITAL,NLP,NLP,NLP,30,04/05/2022 12:00:00 AM
2022-04-10T09-31-27,83221,BINGHAM MEMORIAL HOSPITAL,NLP,NLP,NLP,30,04/05/2022 12:00:00 AM
2022-04-11T07-06-23,83221,BINGHAM MEMORIAL HOSPITAL,NLP,NLP,NLP,30,04/05/2022 12:00:00 AM
2022-04-12T07-06-55,83221,BINGHAM MEMORIAL HOSPITAL,NLP,NLP,NLP,30,04/05/2022 12:00:00 AM
