2022-02-18T16-04-21,83404,MOUNTAIN VIEW HOSPITAL,02/16/2022 12:00:00 AM,,20,,
2022-02-18T16-04-21,83404,BLAIR FAMILY MEDICINE,02/17/2022 12:00:00 AM,,10,,
2022-03-03T09-56-49,83404,BLAIR FAMILY MEDICINE,02/17/2022 12:00:00 AM,,10,,
2022-03-03T09-56-49,83404,MOUNTAIN VIEW HOSPITAL,02/24/2022 12:00:00 AM,,30,20,02/21/2022 12:00:00 AM
2022-03-03T10-04-44,83404,BLAIR FAMILY MEDICINE,02/17/2022 12:00:00 AM,02/23/2022 12:00:00 AM,10,,
2022-03-03T10-04-44,83404,MOUNTAIN VIEW HOSPITAL,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,30,29,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,83404,BLAIR FAMILY MEDICINE,02/17/2022 12:00:00 AM,02/23/2022 12:00:00 AM,10,,
2022-03-08T14-40-56,83404,MOUNTAIN VIEW HOSPITAL,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,30,29,03/02/2022 12:00:00 AM
2022-03-18T11-17-38,83404,MOUNTAIN VIEW HOSPITAL,NLP,NLP,NLP,29,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,83404,MOUNTAIN VIEW HOSPITAL,NLP,NLP,NLP,29,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,83404,MOUNTAIN VIEW HOSPITAL,NLP,NLP,NLP,29,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,83404,MOUNTAIN VIEW HOSPITAL,NLP,NLP,NLP,29,03/17/2022 12:00:00 AM
2022-03-20T06-05-37,83404,MOUNTAIN VIEW HOSPITAL,NLP,NLP,NLP,29,03/17/2022 12:00:00 AM
2022-03-21T06-11-50,83404,MOUNTAIN VIEW HOSPITAL,NLP,NLP,NLP,29,03/17/2022 12:00:00 AM
2022-03-21T14-18-38,83404,MOUNTAIN VIEW HOSPITAL,NLP,NLP,NLP,29,03/17/2022 12:00:00 AM
2022-03-21T16-35-27,83404,MOUNTAIN VIEW HOSPITAL,NLP,NLP,NLP,29,03/17/2022 12:00:00 AM
2022-03-22T09-16-18,83404,MOUNTAIN VIEW HOSPITAL,NLP,NLP,NLP,29,03/17/2022 12:00:00 AM
2022-03-23T08-41-43,83404,MOUNTAIN VIEW HOSPITAL,NLP,NLP,NLP,29,03/17/2022 12:00:00 AM
2022-03-24T07-49-11,83404,MOUNTAIN VIEW HOSPITAL,NLP,NLP,NLP,29,03/17/2022 12:00:00 AM
2022-03-24T13-46-29,83404,MOUNTAIN VIEW HOSPITAL,NLP,NLP,NLP,29,03/17/2022 12:00:00 AM
2022-03-28T06-21-17,83404,MOUNTAIN VIEW HOSPITAL,NLP,NLP,NLP,29,03/17/2022 12:00:00 AM
2022-03-29T08-50-48,83404,MOUNTAIN VIEW HOSPITAL,NLP,NLP,NLP,29,03/17/2022 12:00:00 AM
2022-03-30T09-27-07,83404,MOUNTAIN VIEW HOSPITAL,NLP,NLP,NLP,29,03/17/2022 12:00:00 AM
2022-03-31T08-53-07,83404,MOUNTAIN VIEW HOSPITAL,NLP,NLP,NLP,49,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,83404,MOUNTAIN VIEW HOSPITAL,NLP,NLP,NLP,49,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,83404,MOUNTAIN VIEW HOSPITAL,NLP,NLP,NLP,49,03/30/2022 12:00:00 AM
2022-04-02T06-05-59,83404,MOUNTAIN VIEW HOSPITAL,NLP,NLP,NLP,49,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,83404,MOUNTAIN VIEW HOSPITAL,NLP,NLP,NLP,49,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,83404,MOUNTAIN VIEW HOSPITAL,NLP,NLP,NLP,49,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,83404,MOUNTAIN VIEW HOSPITAL,NLP,NLP,NLP,49,04/01/2022 12:00:00 AM
2022-04-06T05-45-18,83404,MOUNTAIN VIEW HOSPITAL,NLP,NLP,NLP,49,04/01/2022 12:00:00 AM
