2022-02-18T16-04-21,87106,PRESBYTERIAN INFUSION CENTER,02/17/2022 12:00:00 AM,,10,0,02/17/2022 12:00:00 AM
2022-03-03T09-56-49,87106,PRESBYTERIAN INFUSION CENTER,02/28/2022 12:00:00 AM,,40,116,02/22/2022 12:00:00 AM
2022-03-03T10-04-44,87106,PRESBYTERIAN INFUSION CENTER,02/28/2022 12:00:00 AM,02/22/2022 12:00:00 AM,40,116,02/22/2022 12:00:00 AM
2022-03-08T14-40-56,87106,PRESBYTERIAN INFUSION CENTER,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,40,116,02/22/2022 12:00:00 AM
2022-03-29T08-50-48,87106,PRESBYTERIAN INFUSION CENTER,NLP,NLP,NLP,116,02/22/2022 12:00:00 AM
2022-03-30T09-27-07,87106,PRESBYTERIAN INFUSION CENTER,NLP,NLP,NLP,116,02/22/2022 12:00:00 AM
2022-03-31T08-53-07,87106,PRESBYTERIAN INFUSION CENTER,NLP,NLP,NLP,1060,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,87106,PRESBYTERIAN INFUSION CENTER,NLP,NLP,NLP,1060,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,87106,PRESBYTERIAN INFUSION CENTER,NLP,NLP,NLP,1060,03/30/2022 12:00:00 AM
2022-04-02T06-05-59,87106,PRESBYTERIAN INFUSION CENTER,NLP,NLP,NLP,1060,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,87106,PRESBYTERIAN INFUSION CENTER,NLP,NLP,NLP,1060,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,87106,PRESBYTERIAN INFUSION CENTER,NLP,NLP,NLP,1060,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,87106,PRESBYTERIAN INFUSION CENTER,NLP,NLP,NLP,1060,04/01/2022 12:00:00 AM
2022-04-06T05-45-18,87106,PRESBYTERIAN INFUSION CENTER,NLP,NLP,NLP,1060,04/01/2022 12:00:00 AM
2022-04-07T05-34-07,87106,PRESBYTERIAN INFUSION CENTER,NLP,NLP,NLP,1060,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,87106,PRESBYTERIAN INFUSION CENTER,NLP,NLP,NLP,1060,04/06/2022 12:00:00 AM
2022-04-09T05-41-09,87106,PRESBYTERIAN INFUSION CENTER,NLP,NLP,NLP,1040,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,87106,PRESBYTERIAN INFUSION CENTER,NLP,NLP,NLP,1040,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,87106,PRESBYTERIAN INFUSION CENTER,NLP,NLP,NLP,1040,04/08/2022 12:00:00 AM
