2022-02-18T16-04-21,88030,MIMBRES MEMORIAL HOSP/NURSING HOME,02/17/2022 12:00:00 AM,,5,0,02/15/2022 12:00:00 AM
2022-03-03T09-56-49,88030,MIMBRES MEMORIAL HOSP/NURSING HOME,02/28/2022 12:00:00 AM,,15,5,02/23/2022 12:00:00 AM
2022-03-03T10-04-44,88030,MIMBRES MEMORIAL HOSP/NURSING HOME,02/28/2022 12:00:00 AM,02/22/2022 12:00:00 AM,15,5,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,88030,MIMBRES MEMORIAL HOSP/NURSING HOME,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,15,5,03/02/2022 12:00:00 AM
2022-03-29T08-50-48,88030,MIMBRES MEMORIAL HOSP/NURSING HOME,NLP,NLP,NLP,5,03/02/2022 12:00:00 AM
2022-03-30T09-27-07,88030,MIMBRES MEMORIAL HOSP/NURSING HOME,NLP,NLP,NLP,5,03/02/2022 12:00:00 AM
2022-03-31T08-53-07,88030,MIMBRES MEMORIAL HOSP/NURSING HOME,NLP,NLP,NLP,15,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,88030,MIMBRES MEMORIAL HOSP/NURSING HOME,NLP,NLP,NLP,15,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,88030,MIMBRES MEMORIAL HOSP/NURSING HOME,NLP,NLP,NLP,15,03/30/2022 12:00:00 AM
2022-04-02T06-05-59,88030,MIMBRES MEMORIAL HOSP/NURSING HOME,NLP,NLP,NLP,15,03/30/2022 12:00:00 AM
2022-04-03T05-51-54,88030,MIMBRES MEMORIAL HOSP/NURSING HOME,NLP,NLP,NLP,15,03/30/2022 12:00:00 AM
2022-04-04T05-38-24,88030,MIMBRES MEMORIAL HOSP/NURSING HOME,NLP,NLP,NLP,15,03/30/2022 12:00:00 AM
2022-04-05T05-48-33,88030,MIMBRES MEMORIAL HOSP/NURSING HOME,NLP,NLP,NLP,15,03/30/2022 12:00:00 AM
2022-04-06T05-45-18,88030,MIMBRES MEMORIAL HOSP/NURSING HOME,NLP,NLP,NLP,15,03/30/2022 12:00:00 AM
2022-04-07T05-34-07,88030,MIMBRES MEMORIAL HOSP/NURSING HOME,NLP,NLP,NLP,15,03/30/2022 12:00:00 AM
2022-04-08T05-48-29,88030,MIMBRES MEMORIAL HOSP/NURSING HOME,NLP,NLP,NLP,15,03/30/2022 12:00:00 AM
2022-04-09T05-41-09,88030,MIMBRES MEMORIAL HOSP/NURSING HOME,NLP,NLP,NLP,15,03/30/2022 12:00:00 AM
2022-04-10T09-31-27,88030,MIMBRES MEMORIAL HOSP/NURSING HOME,NLP,NLP,NLP,15,03/30/2022 12:00:00 AM
2022-04-11T07-06-23,88030,MIMBRES MEMORIAL HOSP/NURSING HOME,NLP,NLP,NLP,15,03/30/2022 12:00:00 AM
2022-04-12T07-06-55,88030,MIMBRES MEMORIAL HOSP/NURSING HOME,NLP,NLP,NLP,15,03/30/2022 12:00:00 AM
2022-04-13T09-20-57,88030,MIMBRES MEMORIAL HOSP/NURSING HOME,NLP,NLP,NLP,15,03/30/2022 12:00:00 AM
2022-04-13T11-55-39,88030,MIMBRES MEMORIAL HOSP/NURSING HOME,NLP,NLP,NLP,15,03/30/2022 12:00:00 AM
