2022-03-08T14-40-56,89102,Intermountain Wynn Instacare,03/02/2022 12:00:00 AM,03/08/2022 12:00:00 AM,40,,
2022-03-16T18-51-35,89102,Intermountain Wynn Instacare,NLP,NLP,NLP,40,03/10/2022 12:00:00 AM
2022-03-18T09-58-11,89102,Intermountain Wynn Instacare,NLP,NLP,NLP,40,03/10/2022 12:00:00 AM
2022-03-18T11-03-37,89102,Intermountain Wynn Instacare,NLP,NLP,NLP,40,03/10/2022 12:00:00 AM
2022-03-18T11-17-38,89102,Intermountain Wynn Instacare,NLP,NLP,NLP,40,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,89102,Intermountain Wynn Instacare,NLP,NLP,NLP,40,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,89102,Intermountain Wynn Instacare,NLP,NLP,NLP,40,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,89102,Intermountain Wynn Instacare,NLP,NLP,NLP,40,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,89102,Intermountain Wynn Instacare,NLP,NLP,NLP,40,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,89102,Intermountain Wynn Instacare,NLP,NLP,NLP,40,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,89102,Intermountain Wynn Instacare,NLP,NLP,NLP,40,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,89102,Intermountain Wynn Instacare,NLP,NLP,NLP,40,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,89102,Intermountain Wynn Instacare,NLP,NLP,NLP,40,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,89102,Intermountain Wynn Instacare,NLP,NLP,NLP,40,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,89102,Intermountain Wynn Instacare,NLP,NLP,NLP,40,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,89102,Intermountain Wynn Instacare,NLP,NLP,NLP,40,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,89102,Intermountain Wynn Instacare,NLP,NLP,NLP,40,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,89102,Intermountain Wynn Instacare,NLP,NLP,NLP,40,03/24/2022 12:00:00 AM
2022-03-26T12-42-50,89102,Intermountain Wynn Instacare,NLP,NLP,NLP,40,03/24/2022 12:00:00 AM
2022-03-27T06-25-27,89102,Intermountain Wynn Instacare,NLP,NLP,NLP,40,03/24/2022 12:00:00 AM
2022-03-28T06-21-17,89102,Intermountain Wynn Instacare,NLP,NLP,NLP,40,03/24/2022 12:00:00 AM
2022-03-29T08-50-48,89102,Intermountain Wynn Instacare,NLP,NLP,NLP,40,03/24/2022 12:00:00 AM
2022-03-30T09-27-07,89102,Intermountain Wynn Instacare,NLP,NLP,NLP,40,03/24/2022 12:00:00 AM
2022-03-31T08-53-07,89102,Intermountain Wynn Instacare,NLP,NLP,NLP,40,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,89102,Intermountain Wynn Instacare,NLP,NLP,NLP,40,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,89102,Intermountain Wynn Instacare,NLP,NLP,NLP,40,03/30/2022 12:00:00 AM
2022-04-02T06-05-59,89102,Intermountain Wynn Instacare,NLP,NLP,NLP,40,03/30/2022 12:00:00 AM
2022-04-02T06-05-59,89102,UNIVERSITY MEDICAL CENTER HOSPITAL,NLP,NLP,NLP,5,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,89102,Intermountain Wynn Instacare,NLP,NLP,NLP,40,03/30/2022 12:00:00 AM
2022-04-03T05-51-54,89102,UNIVERSITY MEDICAL CENTER HOSPITAL,NLP,NLP,NLP,5,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,89102,Intermountain Wynn Instacare,NLP,NLP,NLP,40,03/30/2022 12:00:00 AM
2022-04-04T05-38-24,89102,UNIVERSITY MEDICAL CENTER HOSPITAL,NLP,NLP,NLP,5,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,89102,Intermountain Wynn Instacare,NLP,NLP,NLP,40,03/30/2022 12:00:00 AM
2022-04-05T05-48-33,89102,UNIVERSITY MEDICAL CENTER HOSPITAL,NLP,NLP,NLP,5,04/01/2022 12:00:00 AM
2022-04-06T05-45-18,89102,Intermountain Wynn Instacare,NLP,NLP,NLP,40,03/30/2022 12:00:00 AM
2022-04-06T05-45-18,89102,UNIVERSITY MEDICAL CENTER HOSPITAL,NLP,NLP,NLP,5,04/01/2022 12:00:00 AM
2022-04-07T05-34-07,89102,Intermountain Wynn Instacare,NLP,NLP,NLP,39,04/07/2022 12:00:00 AM
2022-04-07T05-34-07,89102,UNIVERSITY MEDICAL CENTER HOSPITAL,NLP,NLP,NLP,4,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,89102,Intermountain Wynn Instacare,NLP,NLP,NLP,39,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,89102,UNIVERSITY MEDICAL CENTER HOSPITAL,NLP,NLP,NLP,4,04/06/2022 12:00:00 AM
