2022-03-08T14-40-56,92037,UC SAN DIEGO HEALTH LA JOLLA - JACO,03/04/2022 12:00:00 AM,03/08/2022 12:00:00 AM,390,120,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,92037,UC SAN DIEGO HEALTH LA JOLLA - JACO,NLP,NLP,NLP,240,03/12/2022 12:00:00 AM
2022-03-18T09-58-11,92037,UC SAN DIEGO HEALTH LA JOLLA - JACO,NLP,NLP,NLP,240,03/16/2022 12:00:00 AM
2022-03-18T11-03-37,92037,UC SAN DIEGO HEALTH LA JOLLA - JACO,NLP,NLP,NLP,240,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,92037,UC SAN DIEGO HEALTH LA JOLLA - JACO,NLP,NLP,NLP,240,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,92037,UC SAN DIEGO HEALTH LA JOLLA - JACO,NLP,NLP,NLP,240,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,92037,UC SAN DIEGO HEALTH LA JOLLA - JACO,NLP,NLP,NLP,240,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,92037,UC SAN DIEGO HEALTH LA JOLLA - JACO,NLP,NLP,NLP,240,03/19/2022 12:00:00 AM
2022-03-20T06-05-37,92037,UC SAN DIEGO HEALTH LA JOLLA - JACO,NLP,NLP,NLP,240,03/19/2022 12:00:00 AM
2022-03-21T06-11-50,92037,UC SAN DIEGO HEALTH LA JOLLA - JACO,NLP,NLP,NLP,240,03/19/2022 12:00:00 AM
2022-03-21T14-18-38,92037,UC SAN DIEGO HEALTH LA JOLLA - JACO,NLP,NLP,NLP,240,03/19/2022 12:00:00 AM
2022-03-21T16-35-27,92037,UC SAN DIEGO HEALTH LA JOLLA - JACO,NLP,NLP,NLP,240,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,92037,UC SAN DIEGO HEALTH LA JOLLA - JACO,NLP,NLP,NLP,240,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,92037,UC SAN DIEGO HEALTH LA JOLLA - JACO,NLP,NLP,NLP,240,03/23/2022 12:00:00 AM
2022-03-24T07-49-11,92037,UC SAN DIEGO HEALTH LA JOLLA - JACO,NLP,NLP,NLP,240,03/23/2022 12:00:00 AM
2022-03-24T13-46-29,92037,UC SAN DIEGO HEALTH LA JOLLA - JACO,NLP,NLP,NLP,240,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,92037,UC SAN DIEGO HEALTH LA JOLLA - JACO,NLP,NLP,NLP,240,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,92037,UC SAN DIEGO HEALTH LA JOLLA - JACO,NLP,NLP,NLP,240,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,92037,UC SAN DIEGO HEALTH LA JOLLA - JACO,NLP,NLP,NLP,240,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,92037,UC SAN DIEGO HEALTH LA JOLLA - JACO,NLP,NLP,NLP,240,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,92037,UC SAN DIEGO HEALTH LA JOLLA - JACO,NLP,NLP,NLP,240,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,92037,UC SAN DIEGO HEALTH LA JOLLA - JACO,NLP,NLP,NLP,240,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,92037,UC SAN DIEGO HEALTH LA JOLLA - JACO,NLP,NLP,NLP,240,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,92037,UC SAN DIEGO HEALTH LA JOLLA - JACO,NLP,NLP,NLP,240,03/31/2022 12:00:00 AM
2022-03-31T15-09-22,92037,UC SAN DIEGO HEALTH LA JOLLA - JACO,NLP,NLP,NLP,240,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,92037,UC SAN DIEGO HEALTH LA JOLLA - JACO,NLP,NLP,NLP,240,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,92037,UC SAN DIEGO HEALTH LA JOLLA - JACO,NLP,NLP,NLP,240,04/02/2022 12:00:00 AM
2022-04-03T05-51-54,92037,UC SAN DIEGO HEALTH LA JOLLA - JACO,NLP,NLP,NLP,240,04/02/2022 12:00:00 AM
2022-04-04T05-38-24,92037,UC SAN DIEGO HEALTH LA JOLLA - JACO,NLP,NLP,NLP,240,04/02/2022 12:00:00 AM
2022-04-05T05-48-33,92037,UC SAN DIEGO HEALTH LA JOLLA - JACO,NLP,NLP,NLP,240,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,92037,UC SAN DIEGO HEALTH LA JOLLA - JACO,NLP,NLP,NLP,240,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,92037,UC SAN DIEGO HEALTH LA JOLLA - JACO,NLP,NLP,NLP,240,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,92037,UC SAN DIEGO HEALTH LA JOLLA - JACO,NLP,NLP,NLP,340,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,92037,UC SAN DIEGO HEALTH LA JOLLA - JACO,NLP,NLP,NLP,340,04/09/2022 12:00:00 AM
