2022-03-08T14-40-56,92220,First Americans Medical Group,03/04/2022 12:00:00 AM,03/08/2022 12:00:00 AM,35,,
2022-06-14T04-15-16,92220,SAN GORGONIO MEMORIAL HOSPITAL,NLP,NLP,NLP,10,06/13/2022 12:00:00 AM
2022-06-15T04-15-27,92220,SAN GORGONIO MEMORIAL HOSPITAL,NLP,NLP,NLP,10,06/13/2022 12:00:00 AM
2022-06-16T04-15-45,92220,SAN GORGONIO MEMORIAL HOSPITAL,NLP,NLP,NLP,10,06/13/2022 12:00:00 AM
2022-06-17T04-15-27,92220,SAN GORGONIO MEMORIAL HOSPITAL,NLP,NLP,NLP,10,06/13/2022 12:00:00 AM
2022-06-18T04-15-18,92220,SAN GORGONIO MEMORIAL HOSPITAL,NLP,NLP,NLP,10,06/13/2022 12:00:00 AM
2022-06-19T04-15-29,92220,SAN GORGONIO MEMORIAL HOSPITAL,NLP,NLP,NLP,10,06/13/2022 12:00:00 AM
2022-06-20T04-15-58,92220,SAN GORGONIO MEMORIAL HOSPITAL,NLP,NLP,NLP,10,06/13/2022 12:00:00 AM
2022-06-21T04-15-35,92220,SAN GORGONIO MEMORIAL HOSPITAL,NLP,NLP,NLP,10,06/13/2022 12:00:00 AM
2022-06-22T04-15-20,92220,SAN GORGONIO MEMORIAL HOSPITAL,NLP,NLP,NLP,10,06/13/2022 12:00:00 AM
2022-06-23T04-15-16,92220,SAN GORGONIO MEMORIAL HOSPITAL,NLP,NLP,NLP,10,06/13/2022 12:00:00 AM
