2022-03-08T14-40-56,93561,ADVENTIST HLTH TEHACHAPI VALLEY,03/04/2022 12:00:00 AM,03/08/2022 12:00:00 AM,25,,
2022-03-18T09-58-11,93561,ADVENTIST HLTH TEHACHAPI VALLEY,NLP,NLP,NLP,25,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,93561,ADVENTIST HLTH TEHACHAPI VALLEY,NLP,NLP,NLP,25,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,93561,ADVENTIST HLTH TEHACHAPI VALLEY,NLP,NLP,NLP,25,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,93561,ADVENTIST HLTH TEHACHAPI VALLEY,NLP,NLP,NLP,25,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,93561,ADVENTIST HLTH TEHACHAPI VALLEY,NLP,NLP,NLP,25,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,93561,ADVENTIST HLTH TEHACHAPI VALLEY,NLP,NLP,NLP,25,03/17/2022 12:00:00 AM
2022-03-20T06-05-37,93561,ADVENTIST HLTH TEHACHAPI VALLEY,NLP,NLP,NLP,25,03/17/2022 12:00:00 AM
2022-03-21T06-11-50,93561,ADVENTIST HLTH TEHACHAPI VALLEY,NLP,NLP,NLP,25,03/17/2022 12:00:00 AM
2022-03-21T14-18-38,93561,ADVENTIST HLTH TEHACHAPI VALLEY,NLP,NLP,NLP,25,03/17/2022 12:00:00 AM
2022-03-21T16-35-27,93561,ADVENTIST HLTH TEHACHAPI VALLEY,NLP,NLP,NLP,25,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,93561,ADVENTIST HLTH TEHACHAPI VALLEY,NLP,NLP,NLP,25,03/21/2022 12:00:00 AM
