2022-03-08T14-40-56,94062,SEQUOIA HOSPITAL,03/04/2022 12:00:00 AM,03/08/2022 12:00:00 AM,30,20,03/04/2022 12:00:00 AM
2022-03-18T11-17-38,94062,SEQUOIA HOSPITAL,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,94062,SEQUOIA HOSPITAL,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,94062,SEQUOIA HOSPITAL,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,94062,SEQUOIA HOSPITAL,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-20T06-05-37,94062,SEQUOIA HOSPITAL,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-21T06-11-50,94062,SEQUOIA HOSPITAL,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-21T14-18-38,94062,SEQUOIA HOSPITAL,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-21T16-35-27,94062,SEQUOIA HOSPITAL,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-22T09-16-18,94062,SEQUOIA HOSPITAL,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-23T08-41-43,94062,SEQUOIA HOSPITAL,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-24T07-49-11,94062,SEQUOIA HOSPITAL,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-24T13-46-29,94062,SEQUOIA HOSPITAL,NLP,NLP,NLP,40,03/17/2022 12:00:00 AM
2022-03-25T08-10-53,94062,SEQUOIA HOSPITAL,NLP,NLP,NLP,50,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,94062,SEQUOIA HOSPITAL,NLP,NLP,NLP,50,03/24/2022 12:00:00 AM
2022-03-26T12-42-50,94062,SEQUOIA HOSPITAL,NLP,NLP,NLP,50,03/24/2022 12:00:00 AM
2022-03-27T06-25-27,94062,SEQUOIA HOSPITAL,NLP,NLP,NLP,50,03/24/2022 12:00:00 AM
2022-03-28T06-21-17,94062,SEQUOIA HOSPITAL,NLP,NLP,NLP,50,03/24/2022 12:00:00 AM
2022-03-29T08-50-48,94062,SEQUOIA HOSPITAL,NLP,NLP,NLP,50,03/24/2022 12:00:00 AM
2022-03-30T09-27-07,94062,SEQUOIA HOSPITAL,NLP,NLP,NLP,50,03/24/2022 12:00:00 AM
2022-03-31T08-53-07,94062,SEQUOIA HOSPITAL,NLP,NLP,NLP,50,03/24/2022 12:00:00 AM
2022-03-31T15-09-22,94062,SEQUOIA HOSPITAL,NLP,NLP,NLP,50,03/24/2022 12:00:00 AM
2022-04-01T06-54-45,94062,SEQUOIA HOSPITAL,NLP,NLP,NLP,50,03/24/2022 12:00:00 AM
2022-04-02T06-05-59,94062,SEQUOIA HOSPITAL,NLP,NLP,NLP,50,03/24/2022 12:00:00 AM
2022-04-03T05-51-54,94062,SEQUOIA HOSPITAL,NLP,NLP,NLP,50,03/24/2022 12:00:00 AM
2022-04-04T05-38-24,94062,SEQUOIA HOSPITAL,NLP,NLP,NLP,50,03/24/2022 12:00:00 AM
2022-04-05T05-48-33,94062,SEQUOIA HOSPITAL,NLP,NLP,NLP,50,03/24/2022 12:00:00 AM
2022-04-06T05-45-18,94062,SEQUOIA HOSPITAL,NLP,NLP,NLP,50,03/24/2022 12:00:00 AM
2022-04-07T05-34-07,94062,SEQUOIA HOSPITAL,NLP,NLP,NLP,50,03/24/2022 12:00:00 AM
2022-04-08T05-48-29,94062,SEQUOIA HOSPITAL,NLP,NLP,NLP,50,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,94062,SEQUOIA HOSPITAL,NLP,NLP,NLP,50,04/07/2022 12:00:00 AM
2022-04-10T09-31-27,94062,SEQUOIA HOSPITAL,NLP,NLP,NLP,50,04/07/2022 12:00:00 AM
2022-04-11T07-06-23,94062,SEQUOIA HOSPITAL,NLP,NLP,NLP,50,04/07/2022 12:00:00 AM
2022-04-12T07-06-55,94062,SEQUOIA HOSPITAL,NLP,NLP,NLP,50,04/07/2022 12:00:00 AM
2022-04-13T09-20-57,94062,SEQUOIA HOSPITAL,NLP,NLP,NLP,50,04/07/2022 12:00:00 AM
2022-04-13T11-55-39,94062,SEQUOIA HOSPITAL,NLP,NLP,NLP,50,04/07/2022 12:00:00 AM
2022-04-14T09-18-06,94062,SEQUOIA HOSPITAL,NLP,NLP,NLP,50,04/07/2022 12:00:00 AM
2022-04-15T06-03-51,94062,SEQUOIA HOSPITAL,NLP,NLP,NLP,50,04/07/2022 12:00:00 AM
2022-04-16T05-33-42,94062,SEQUOIA HOSPITAL,NLP,NLP,NLP,50,04/07/2022 12:00:00 AM
2022-04-17T05-32-24,94062,SEQUOIA HOSPITAL,NLP,NLP,NLP,50,04/07/2022 12:00:00 AM
2022-04-18T05-31-10,94062,SEQUOIA HOSPITAL,NLP,NLP,NLP,50,04/07/2022 12:00:00 AM
2022-04-19T05-39-24,94062,SEQUOIA HOSPITAL,NLP,NLP,NLP,50,04/07/2022 12:00:00 AM
