2022-03-03T10-04-44,95065,DOMINICAN HOSPITAL,02/26/2022 12:00:00 AM,03/01/2022 12:00:00 AM,25,25,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,95065,DOMINICAN HOSPITAL,03/04/2022 12:00:00 AM,03/08/2022 12:00:00 AM,40,25,03/04/2022 12:00:00 AM
2022-03-16T18-51-35,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,40,03/10/2022 12:00:00 AM
2022-03-18T09-58-11,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,60,03/16/2022 12:00:00 AM
2022-03-18T11-03-37,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,60,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,60,03/18/2022 12:00:00 AM
2022-03-18T15-22-50,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,60,03/18/2022 12:00:00 AM
2022-03-19T08-15-59,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,60,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,60,03/19/2022 12:00:00 AM
2022-03-20T06-05-37,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,60,03/19/2022 12:00:00 AM
2022-03-21T06-11-50,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,60,03/19/2022 12:00:00 AM
2022-03-21T14-18-38,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,60,03/19/2022 12:00:00 AM
2022-03-21T16-35-27,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,60,03/19/2022 12:00:00 AM
2022-03-22T09-16-18,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,60,03/22/2022 12:00:00 AM
2022-03-23T08-41-43,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,60,03/23/2022 12:00:00 AM
2022-03-24T07-49-11,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,60,03/23/2022 12:00:00 AM
2022-03-24T13-46-29,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,60,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,60,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,60,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,60,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,60,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,60,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,60,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,60,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,65,03/31/2022 12:00:00 AM
2022-03-31T15-09-22,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,65,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,64,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,64,04/02/2022 12:00:00 AM
2022-04-03T05-51-54,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,64,04/02/2022 12:00:00 AM
2022-04-04T05-38-24,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,64,04/02/2022 12:00:00 AM
2022-04-05T05-48-33,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,59,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,59,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,64,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,95065,DOMINICAN HOSPITAL,NLP,NLP,NLP,64,04/08/2022 12:00:00 AM
