2022-03-08T14-40-56,97141,Adventist Health Tillamook Hospital,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,5,,
2022-03-16T18-51-35,97141,Adventist Health Tillamook Hospital,NLP,NLP,NLP,5,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,97141,Adventist Health Tillamook Hospital,NLP,NLP,NLP,5,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,97141,Adventist Health Tillamook Hospital,NLP,NLP,NLP,5,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,97141,Adventist Health Tillamook Hospital,NLP,NLP,NLP,5,03/15/2022 12:00:00 AM
2022-03-18T15-22-50,97141,Adventist Health Tillamook Hospital,NLP,NLP,NLP,5,03/15/2022 12:00:00 AM
2022-03-19T08-15-59,97141,Adventist Health Tillamook Hospital,NLP,NLP,NLP,5,03/15/2022 12:00:00 AM
2022-03-19T11-58-02,97141,Adventist Health Tillamook Hospital,NLP,NLP,NLP,5,03/15/2022 12:00:00 AM
2022-03-20T06-05-37,97141,Adventist Health Tillamook Hospital,NLP,NLP,NLP,5,03/15/2022 12:00:00 AM
2022-03-21T06-11-50,97141,Adventist Health Tillamook Hospital,NLP,NLP,NLP,5,03/15/2022 12:00:00 AM
2022-03-21T14-18-38,97141,Adventist Health Tillamook Hospital,NLP,NLP,NLP,5,03/15/2022 12:00:00 AM
2022-03-21T16-35-27,97141,Adventist Health Tillamook Hospital,NLP,NLP,NLP,5,03/15/2022 12:00:00 AM
2022-03-22T09-16-18,97141,Adventist Health Tillamook Hospital,NLP,NLP,NLP,5,03/15/2022 12:00:00 AM
2022-03-24T13-46-29,97141,Adventist Health Tillamook Hospital,NLP,NLP,NLP,5,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,97141,Adventist Health Tillamook Hospital,NLP,NLP,NLP,5,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,97141,Adventist Health Tillamook Hospital,NLP,NLP,NLP,5,03/24/2022 12:00:00 AM
2022-03-26T12-42-50,97141,Adventist Health Tillamook Hospital,NLP,NLP,NLP,5,03/24/2022 12:00:00 AM
2022-03-27T06-25-27,97141,Adventist Health Tillamook Hospital,NLP,NLP,NLP,5,03/24/2022 12:00:00 AM
2022-03-28T06-21-17,97141,Adventist Health Tillamook Hospital,NLP,NLP,NLP,5,03/24/2022 12:00:00 AM
2022-03-29T08-50-48,97141,Adventist Health Tillamook Hospital,NLP,NLP,NLP,4,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,97141,Adventist Health Tillamook Hospital,NLP,NLP,NLP,4,03/28/2022 12:00:00 AM
2022-03-31T08-53-07,97141,Adventist Health Tillamook Hospital,NLP,NLP,NLP,4,03/28/2022 12:00:00 AM
2022-03-31T15-09-22,97141,Adventist Health Tillamook Hospital,NLP,NLP,NLP,4,03/28/2022 12:00:00 AM
2022-04-01T06-54-45,97141,Adventist Health Tillamook Hospital,NLP,NLP,NLP,4,03/28/2022 12:00:00 AM
2022-04-02T06-05-59,97141,Adventist Health Tillamook Hospital,NLP,NLP,NLP,4,03/28/2022 12:00:00 AM
2022-04-03T05-51-54,97141,Adventist Health Tillamook Hospital,NLP,NLP,NLP,4,03/28/2022 12:00:00 AM
2022-04-04T05-38-24,97141,Adventist Health Tillamook Hospital,NLP,NLP,NLP,4,03/28/2022 12:00:00 AM
2022-04-05T05-48-33,97141,Adventist Health Tillamook Hospital,NLP,NLP,NLP,4,03/28/2022 12:00:00 AM
2022-04-06T05-45-18,97141,Adventist Health Tillamook Hospital,NLP,NLP,NLP,4,03/28/2022 12:00:00 AM
2022-04-07T05-34-07,97141,Adventist Health Tillamook Hospital,NLP,NLP,NLP,4,03/28/2022 12:00:00 AM
2022-04-08T05-48-29,97141,Adventist Health Tillamook Hospital,NLP,NLP,NLP,4,03/28/2022 12:00:00 AM
2022-04-09T05-41-09,97141,Adventist Health Tillamook Hospital,NLP,NLP,NLP,4,03/28/2022 12:00:00 AM
2022-04-10T09-31-27,97141,Adventist Health Tillamook Hospital,NLP,NLP,NLP,4,03/28/2022 12:00:00 AM
2022-04-11T07-06-23,97141,Adventist Health Tillamook Hospital,NLP,NLP,NLP,4,03/28/2022 12:00:00 AM
2022-04-12T07-06-55,97141,Adventist Health Tillamook Hospital,NLP,NLP,NLP,4,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,97141,Adventist Health Tillamook Hospital,NLP,NLP,NLP,4,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,97141,Adventist Health Tillamook Hospital,NLP,NLP,NLP,4,04/12/2022 12:00:00 AM
2022-04-14T09-18-06,97141,Adventist Health Tillamook Hospital,NLP,NLP,NLP,4,04/12/2022 12:00:00 AM
2022-04-15T06-03-51,97141,Adventist Health Tillamook Hospital,NLP,NLP,NLP,4,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,97141,Adventist Health Tillamook Hospital,NLP,NLP,NLP,4,04/14/2022 12:00:00 AM
2022-04-17T05-32-24,97141,Adventist Health Tillamook Hospital,NLP,NLP,NLP,4,04/14/2022 12:00:00 AM
