2022-03-08T14-40-56,97225,Comprehensive Risk Reduction Clinic,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,5,,
2022-05-13T06-07-31,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,4,05/12/2022 12:00:00 AM
2022-05-14T08-49-14,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,4,05/12/2022 12:00:00 AM
2022-05-15T05-54-13,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,4,05/12/2022 12:00:00 AM
2022-05-16T05-54-24,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,4,05/12/2022 12:00:00 AM
2022-05-17T05-27-38,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,4,05/12/2022 12:00:00 AM
2022-05-18T05-40-23,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,4,05/12/2022 12:00:00 AM
2022-05-19T05-25-31,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-21T05-54-21,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-22T09-07-10,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-23T07-42-39,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-24T05-46-03,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-25T05-39-27,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-26T07-59-29,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-26T07-59-29,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-26T07-59-29,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-27T05-48-57,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-28T05-34-18,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-29T05-31-58,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-30T05-32-42,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-05-31T08-56-01,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-06-01T05-37-50,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-06-02T07-54-10,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-06-03T08-50-11,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-06-04T19-11-08,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-06-05T08-48-25,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-06-06T06-32-51,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-06-07T05-36-41,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-06-08T05-42-02,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-06-09T04-15-20,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-06-10T04-15-36,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-06-11T04-15-14,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-06-12T04-15-15,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-06-13T04-15-40,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-06-14T04-15-16,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
2022-06-15T04-15-27,97225,Comprehensive Risk Reduction Clinic,NLP,NLP,NLP,9,05/18/2022 12:00:00 AM
