2022-03-08T14-40-56,98223,CASCADE VALLEY HOSPITAL,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,5,5,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,98223,CASCADE VALLEY HOSPITAL,NLP,NLP,NLP,5,03/07/2022 12:00:00 AM
2022-03-18T09-58-11,98223,CASCADE VALLEY HOSPITAL,NLP,NLP,NLP,5,03/14/2022 12:00:00 AM
2022-03-18T11-03-37,98223,CASCADE VALLEY HOSPITAL,NLP,NLP,NLP,5,03/14/2022 12:00:00 AM
2022-03-18T11-17-38,98223,CASCADE VALLEY HOSPITAL,NLP,NLP,NLP,5,03/14/2022 12:00:00 AM
2022-03-18T15-22-50,98223,CASCADE VALLEY HOSPITAL,NLP,NLP,NLP,5,03/14/2022 12:00:00 AM
2022-03-19T08-15-59,98223,CASCADE VALLEY HOSPITAL,NLP,NLP,NLP,5,03/14/2022 12:00:00 AM
2022-03-19T11-58-02,98223,CASCADE VALLEY HOSPITAL,NLP,NLP,NLP,5,03/14/2022 12:00:00 AM
2022-03-20T06-05-37,98223,CASCADE VALLEY HOSPITAL,NLP,NLP,NLP,5,03/14/2022 12:00:00 AM
2022-03-21T06-11-50,98223,CASCADE VALLEY HOSPITAL,NLP,NLP,NLP,5,03/14/2022 12:00:00 AM
2022-03-21T14-18-38,98223,CASCADE VALLEY HOSPITAL,NLP,NLP,NLP,5,03/14/2022 12:00:00 AM
2022-03-21T16-35-27,98223,CASCADE VALLEY HOSPITAL,NLP,NLP,NLP,5,03/14/2022 12:00:00 AM
2022-03-22T09-16-18,98223,CASCADE VALLEY HOSPITAL,NLP,NLP,NLP,5,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,98223,CASCADE VALLEY HOSPITAL,NLP,NLP,NLP,5,03/21/2022 12:00:00 AM
2022-03-24T07-49-11,98223,CASCADE VALLEY HOSPITAL,NLP,NLP,NLP,5,03/21/2022 12:00:00 AM
2022-03-24T13-46-29,98223,CASCADE VALLEY HOSPITAL,NLP,NLP,NLP,5,03/21/2022 12:00:00 AM
2022-03-25T08-10-53,98223,CASCADE VALLEY HOSPITAL,NLP,NLP,NLP,5,03/21/2022 12:00:00 AM
2022-03-26T06-57-27,98223,CASCADE VALLEY HOSPITAL,NLP,NLP,NLP,5,03/21/2022 12:00:00 AM
