2022-03-08T14-40-56,98274,Skagit Valley Hospital,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,5,5,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,98274,Skagit Valley Hospital,NLP,NLP,NLP,5,03/07/2022 12:00:00 AM
2022-03-18T09-58-11,98274,Skagit Valley Hospital,NLP,NLP,NLP,5,03/14/2022 12:00:00 AM
2022-03-18T11-03-37,98274,Skagit Valley Hospital,NLP,NLP,NLP,5,03/14/2022 12:00:00 AM
2022-03-18T11-17-38,98274,Skagit Valley Hospital,NLP,NLP,NLP,5,03/14/2022 12:00:00 AM
2022-03-18T15-22-50,98274,Skagit Valley Hospital,NLP,NLP,NLP,5,03/14/2022 12:00:00 AM
2022-03-19T08-15-59,98274,Skagit Valley Hospital,NLP,NLP,NLP,5,03/14/2022 12:00:00 AM
2022-03-19T11-58-02,98274,Skagit Valley Hospital,NLP,NLP,NLP,5,03/14/2022 12:00:00 AM
2022-03-20T06-05-37,98274,Skagit Valley Hospital,NLP,NLP,NLP,5,03/14/2022 12:00:00 AM
2022-03-21T06-11-50,98274,Skagit Valley Hospital,NLP,NLP,NLP,5,03/14/2022 12:00:00 AM
2022-03-21T14-18-38,98274,Skagit Valley Hospital,NLP,NLP,NLP,5,03/14/2022 12:00:00 AM
