2022-03-08T14-40-56,17837,ALBRIGHT PHARMACY,03/02/2022 12:00:00 AM,03/05/2022 12:00:00 AM,24,,
2022-03-16T18-51-35,17837,ALBRIGHT PHARMACY,NLP,NLP,NLP,24,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,17837,ALBRIGHT PHARMACY,NLP,NLP,NLP,24,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,17837,ALBRIGHT PHARMACY,NLP,NLP,NLP,24,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,17837,ALBRIGHT PHARMACY,NLP,NLP,NLP,24,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,17837,ALBRIGHT PHARMACY,NLP,NLP,NLP,24,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,17837,ALBRIGHT PHARMACY,NLP,NLP,NLP,24,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,17837,ALBRIGHT PHARMACY,NLP,NLP,NLP,24,03/17/2022 12:00:00 AM
2022-03-20T06-05-37,17837,ALBRIGHT PHARMACY,NLP,NLP,NLP,24,03/17/2022 12:00:00 AM
2022-03-21T06-11-50,17837,ALBRIGHT PHARMACY,NLP,NLP,NLP,24,03/17/2022 12:00:00 AM
2022-03-21T14-18-38,17837,ALBRIGHT PHARMACY,NLP,NLP,NLP,24,03/17/2022 12:00:00 AM
2022-03-21T16-35-27,17837,ALBRIGHT PHARMACY,NLP,NLP,NLP,24,03/17/2022 12:00:00 AM
2022-03-22T09-16-18,17837,ALBRIGHT PHARMACY,NLP,NLP,NLP,24,03/17/2022 12:00:00 AM
2022-03-23T08-41-43,17837,ALBRIGHT PHARMACY,NLP,NLP,NLP,24,03/22/2022 12:00:00 AM
