2022-02-18T16-04-21,28227,Carolina Asthma and Allergy Center,02/17/2022 12:00:00 AM,,24,,
2022-02-22T09-09-37,28227,Carolina Asthma and Allergy Center,02/21/2022 12:00:00 AM,,48,,
2022-02-24T09-51-18,28227,Carolina Asthma and Allergy Center,02/21/2022 12:00:00 AM,,48,,
2022-03-03T09-56-49,28227,Carolina Asthma and Allergy Center,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,48,,
2022-03-03T10-04-44,28227,Carolina Asthma and Allergy Center,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,48,,
2022-03-08T14-40-56,28227,Carolina Asthma and Allergy Center,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,48,,
2022-06-09T04-15-20,28227,Carolina Asthma and Allergy Center,NLP,NLP,NLP,,
2022-06-10T04-15-36,28227,Carolina Asthma and Allergy Center,NLP,NLP,NLP,,
2022-06-11T04-15-14,28227,Carolina Asthma and Allergy Center,NLP,NLP,NLP,,
2022-06-12T04-15-15,28227,Carolina Asthma and Allergy Center,NLP,NLP,NLP,,
2022-06-13T04-15-40,28227,Carolina Asthma and Allergy Center,NLP,NLP,NLP,,
2022-06-14T04-15-16,28227,Carolina Asthma and Allergy Center,NLP,NLP,NLP,,
2022-06-15T04-15-27,28227,Carolina Asthma and Allergy Center,NLP,NLP,NLP,,
