2022-01-03T16-32-58,33612,MOFFITT CANCER - MAGNOLIA,12/29/2021 12:00:00 AM,,144,0,12/27/2021 12:00:00 AM
2022-03-24T13-46-29,33612,GEMD 36,NLP,NLP,NLP,48,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,33612,GEMD 36,NLP,NLP,NLP,48,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,33612,GEMD 36,NLP,NLP,NLP,48,03/24/2022 12:00:00 AM
2022-03-26T12-42-50,33612,GEMD 36,NLP,NLP,NLP,48,03/24/2022 12:00:00 AM
2022-03-27T06-25-27,33612,GEMD 36,NLP,NLP,NLP,48,03/24/2022 12:00:00 AM
2022-03-28T06-21-17,33612,GEMD 36,NLP,NLP,NLP,72,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,33612,GEMD 36,NLP,NLP,NLP,72,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,33612,GEMD 36,NLP,NLP,NLP,72,03/28/2022 12:00:00 AM
2022-03-31T08-53-07,33612,GEMD 36,NLP,NLP,NLP,72,03/28/2022 12:00:00 AM
2022-03-31T15-09-22,33612,GEMD 36,NLP,NLP,NLP,72,03/28/2022 12:00:00 AM
2022-04-01T06-54-45,33612,GEMD 36,NLP,NLP,NLP,72,03/28/2022 12:00:00 AM
2022-04-02T06-05-59,33612,GEMD 36,NLP,NLP,NLP,72,03/28/2022 12:00:00 AM
2022-04-03T05-51-54,33612,GEMD 36,NLP,NLP,NLP,72,03/28/2022 12:00:00 AM
2022-04-04T05-38-24,33612,GEMD 36,NLP,NLP,NLP,72,03/28/2022 12:00:00 AM
2022-04-05T05-48-33,33612,GEMD 36,NLP,NLP,NLP,72,03/28/2022 12:00:00 AM
2022-04-06T05-45-18,33612,GEMD 36,NLP,NLP,NLP,72,03/28/2022 12:00:00 AM
2022-04-07T05-34-07,33612,GEMD 36,NLP,NLP,NLP,72,03/28/2022 12:00:00 AM
2022-04-08T05-48-29,33612,GEMD 36,NLP,NLP,NLP,72,03/28/2022 12:00:00 AM
2022-04-09T05-41-09,33612,GEMD 36,NLP,NLP,NLP,72,03/28/2022 12:00:00 AM
2022-04-10T09-31-27,33612,GEMD 36,NLP,NLP,NLP,72,03/28/2022 12:00:00 AM
2022-04-11T07-06-23,33612,GEMD 36,NLP,NLP,NLP,72,03/28/2022 12:00:00 AM
2022-04-12T07-06-55,33612,GEMD 36,NLP,NLP,NLP,72,03/28/2022 12:00:00 AM
2022-04-13T09-20-57,33612,GEMD 36,NLP,NLP,NLP,72,03/28/2022 12:00:00 AM
2022-04-13T11-55-39,33612,GEMD 36,NLP,NLP,NLP,72,03/28/2022 12:00:00 AM
2022-04-14T09-18-06,33612,GEMD 36,NLP,NLP,NLP,72,03/28/2022 12:00:00 AM
2022-04-15T06-03-51,33612,GEMD 36,NLP,NLP,NLP,72,03/28/2022 12:00:00 AM
2022-04-16T05-33-42,33612,GEMD 36,NLP,NLP,NLP,72,03/28/2022 12:00:00 AM
2022-04-17T05-32-24,33612,GEMD 36,NLP,NLP,NLP,72,03/28/2022 12:00:00 AM
2022-04-18T05-31-10,33612,GEMD 36,NLP,NLP,NLP,72,03/28/2022 12:00:00 AM
2022-04-19T05-39-24,33612,GEMD 36,NLP,NLP,NLP,72,03/28/2022 12:00:00 AM
2022-04-20T05-27-37,33612,GEMD 36,NLP,NLP,NLP,72,03/28/2022 12:00:00 AM
2022-04-21T05-29-54,33612,GEMD 36,NLP,NLP,NLP,72,03/28/2022 12:00:00 AM
