2022-02-16T08-23-53,35243,FLEXCARE INFUSION CENTER,02/15/2022 12:00:00 AM,,0,,02/15/2022 12:00:00 AM
2022-02-18T16-04-21,35243,ContinuumRx of Central Alabama,02/04/2022 12:00:00 AM,02/09/2022 12:00:00 AM,24,0,02/03/2022 12:00:00 AM
2022-04-05T05-48-33,35243,ContinuumRx of Central Alabama,NLP,NLP,NLP,0,02/03/2022 12:00:00 AM
2022-05-26T07-59-29,35243,FLEXCARE INFUSION CENTER,NLP,NLP,NLP,24,05/25/2022 12:00:00 AM
2022-05-26T07-59-29,35243,FLEXCARE INFUSION CENTER,NLP,NLP,NLP,24,05/25/2022 12:00:00 AM
2022-05-26T07-59-29,35243,FLEXCARE INFUSION CENTER,NLP,NLP,NLP,24,05/25/2022 12:00:00 AM
2022-05-27T05-48-57,35243,FLEXCARE INFUSION CENTER,NLP,NLP,NLP,22,05/26/2022 12:00:00 AM
2022-05-28T05-34-18,35243,FLEXCARE INFUSION CENTER,NLP,NLP,NLP,18,05/27/2022 12:00:00 AM
2022-05-29T05-31-58,35243,FLEXCARE INFUSION CENTER,NLP,NLP,NLP,18,05/27/2022 12:00:00 AM
2022-05-30T05-32-42,35243,FLEXCARE INFUSION CENTER,NLP,NLP,NLP,18,05/27/2022 12:00:00 AM
2022-05-31T08-56-01,35243,FLEXCARE INFUSION CENTER,NLP,NLP,NLP,18,05/27/2022 12:00:00 AM
2022-06-01T05-37-50,35243,FLEXCARE INFUSION CENTER,NLP,NLP,NLP,18,05/31/2022 12:00:00 AM
2022-06-02T07-54-10,35243,FLEXCARE INFUSION CENTER,NLP,NLP,NLP,18,06/01/2022 12:00:00 AM
2022-06-03T08-50-11,35243,FLEXCARE INFUSION CENTER,NLP,NLP,NLP,18,06/01/2022 12:00:00 AM
2022-06-04T19-11-08,35243,FLEXCARE INFUSION CENTER,NLP,NLP,NLP,40,06/02/2022 12:00:00 AM
2022-06-05T08-48-25,35243,FLEXCARE INFUSION CENTER,NLP,NLP,NLP,40,06/04/2022 12:00:00 AM
2022-06-06T06-32-51,35243,FLEXCARE INFUSION CENTER,NLP,NLP,NLP,40,06/04/2022 12:00:00 AM
2022-06-07T05-36-41,35243,FLEXCARE INFUSION CENTER,NLP,NLP,NLP,40,06/06/2022 12:00:00 AM
2022-06-08T05-42-02,35243,FLEXCARE INFUSION CENTER,NLP,NLP,NLP,40,06/07/2022 12:00:00 AM
2022-06-09T04-15-20,35243,FLEXCARE INFUSION CENTER,NLP,NLP,NLP,40,06/08/2022 12:00:00 AM
2022-06-10T04-15-36,35243,FLEXCARE INFUSION CENTER,NLP,NLP,NLP,40,06/08/2022 12:00:00 AM
2022-06-11T04-15-14,35243,FLEXCARE INFUSION CENTER,NLP,NLP,NLP,40,06/08/2022 12:00:00 AM
2022-06-12T04-15-15,35243,FLEXCARE INFUSION CENTER,NLP,NLP,NLP,40,06/08/2022 12:00:00 AM
2022-06-13T04-15-40,35243,FLEXCARE INFUSION CENTER,NLP,NLP,NLP,40,06/08/2022 12:00:00 AM
2022-06-14T04-15-16,35243,FLEXCARE INFUSION CENTER,NLP,NLP,NLP,38,06/13/2022 12:00:00 AM
2022-06-15T04-15-27,35243,FLEXCARE INFUSION CENTER,NLP,NLP,NLP,38,06/13/2022 12:00:00 AM
