2022-03-08T14-40-56,39074,LACKEY MEMORIAL HOSPITAL,03/01/2022 12:00:00 AM,03/03/2022 12:00:00 AM,24,12,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,39074,LACKEY MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,39074,LACKEY MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,39074,LACKEY MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,39074,LACKEY MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,39074,LACKEY MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,39074,LACKEY MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,39074,LACKEY MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/17/2022 12:00:00 AM
2022-03-20T06-05-37,39074,LACKEY MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/17/2022 12:00:00 AM
2022-03-21T06-11-50,39074,LACKEY MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/17/2022 12:00:00 AM
2022-03-21T14-18-38,39074,LACKEY MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/17/2022 12:00:00 AM
2022-03-21T16-35-27,39074,LACKEY MEMORIAL HOSPITAL,NLP,NLP,NLP,24,03/21/2022 12:00:00 AM
