2022-03-08T14-40-56,39744,NMMC Eupora,03/01/2022 12:00:00 AM,03/03/2022 12:00:00 AM,24,24,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,39744,NMMC Eupora,NLP,NLP,NLP,24,03/08/2022 12:00:00 AM
2022-03-29T08-50-48,39744,NMMC Eupora,NLP,NLP,NLP,24,03/08/2022 12:00:00 AM
2022-03-30T09-27-07,39744,NMMC Eupora,NLP,NLP,NLP,24,03/08/2022 12:00:00 AM
2022-03-31T08-53-07,39744,NMMC Eupora,NLP,NLP,NLP,24,03/08/2022 12:00:00 AM
2022-03-31T15-09-22,39744,NMMC Eupora,NLP,NLP,NLP,24,03/08/2022 12:00:00 AM
2022-04-01T06-54-45,39744,NMMC Eupora,NLP,NLP,NLP,24,03/08/2022 12:00:00 AM
2022-04-02T06-05-59,39744,NMMC Eupora,NLP,NLP,NLP,24,03/08/2022 12:00:00 AM
2022-04-03T05-51-54,39744,NMMC Eupora,NLP,NLP,NLP,24,03/08/2022 12:00:00 AM
2022-04-04T05-38-24,39744,NMMC Eupora,NLP,NLP,NLP,24,03/08/2022 12:00:00 AM
2022-04-05T05-48-33,39744,NMMC Eupora,NLP,NLP,NLP,24,03/08/2022 12:00:00 AM
2022-04-06T05-45-18,39744,NMMC Eupora,NLP,NLP,NLP,24,03/08/2022 12:00:00 AM
2022-04-07T05-34-07,39744,NMMC Eupora,NLP,NLP,NLP,24,03/08/2022 12:00:00 AM
2022-04-08T05-48-29,39744,NMMC Eupora,NLP,NLP,NLP,24,03/08/2022 12:00:00 AM
2022-04-09T05-41-09,39744,NMMC Eupora,NLP,NLP,NLP,24,03/08/2022 12:00:00 AM
2022-04-10T09-31-27,39744,NMMC Eupora,NLP,NLP,NLP,24,03/08/2022 12:00:00 AM
2022-04-11T07-06-23,39744,NMMC Eupora,NLP,NLP,NLP,24,03/08/2022 12:00:00 AM
2022-04-12T07-06-55,39744,NMMC Eupora,NLP,NLP,NLP,24,03/08/2022 12:00:00 AM
2022-04-13T09-20-57,39744,NMMC Eupora,NLP,NLP,NLP,24,03/08/2022 12:00:00 AM
