2022-02-16T08-23-53,53151,FROEDTERT HEALTH - MOORLAND,02/14/2022 12:00:00 AM,,0,150,02/15/2022 12:00:00 AM
2022-03-03T09-56-49,53151,FROEDTERT HEALTH - MOORLAND,02/25/2022 12:00:00 AM,,72,101,03/01/2022 12:00:00 AM
2022-03-03T10-04-44,53151,FROEDTERT HEALTH - MOORLAND,02/25/2022 12:00:00 AM,,72,80,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,53151,FROEDTERT HEALTH - MOORLAND,02/25/2022 12:00:00 AM,,72,45,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,53151,FROEDTERT HEALTH - MOORLAND,NLP,NLP,NLP,85,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,53151,FROEDTERT HEALTH - MOORLAND,NLP,NLP,NLP,69,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,53151,FROEDTERT HEALTH - MOORLAND,NLP,NLP,NLP,69,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,53151,FROEDTERT HEALTH - MOORLAND,NLP,NLP,NLP,110,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,53151,FROEDTERT HEALTH - MOORLAND,NLP,NLP,NLP,110,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,53151,FROEDTERT HEALTH - MOORLAND,NLP,NLP,NLP,115,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,53151,FROEDTERT HEALTH - MOORLAND,NLP,NLP,NLP,115,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,53151,FROEDTERT HEALTH - MOORLAND,NLP,NLP,NLP,115,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,53151,FROEDTERT HEALTH - MOORLAND,NLP,NLP,NLP,115,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,53151,FROEDTERT HEALTH - MOORLAND,NLP,NLP,NLP,115,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,53151,FROEDTERT HEALTH - MOORLAND,NLP,NLP,NLP,93,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,53151,FROEDTERT HEALTH - MOORLAND,NLP,NLP,NLP,93,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,53151,FROEDTERT HEALTH - MOORLAND,NLP,NLP,NLP,72,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,53151,FROEDTERT HEALTH - MOORLAND,NLP,NLP,NLP,72,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,53151,FROEDTERT HEALTH - MOORLAND,NLP,NLP,NLP,364,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,53151,FROEDTERT HEALTH - MOORLAND,NLP,NLP,NLP,364,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,53151,FROEDTERT HEALTH - MOORLAND,NLP,NLP,NLP,356,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,53151,FROEDTERT HEALTH - MOORLAND,NLP,NLP,NLP,356,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,53151,FROEDTERT HEALTH - MOORLAND,NLP,NLP,NLP,356,03/26/2022 12:00:00 AM
