2022-02-16T18-37-01,56308,ALOMERE-DOUGLAS COUNTY HOSPITAL,02/10/2022 12:00:00 AM,,48,,
2022-02-18T15-54-16,56308,ALOMERE-DOUGLAS COUNTY HOSPITAL,02/17/2022 12:00:00 AM,02/16/2022 12:00:00 AM,72,,
2022-02-18T16-04-21,56308,ALOMERE-DOUGLAS COUNTY HOSPITAL,02/17/2022 12:00:00 AM,02/16/2022 12:00:00 AM,72,,
2022-02-22T09-09-37,56308,ALOMERE-DOUGLAS COUNTY HOSPITAL,02/17/2022 12:00:00 AM,02/16/2022 12:00:00 AM,72,,
2022-02-24T09-51-18,56308,ALOMERE-DOUGLAS COUNTY HOSPITAL,02/17/2022 12:00:00 AM,02/16/2022 12:00:00 AM,72,,
2022-03-03T09-56-49,56308,ALOMERE-DOUGLAS COUNTY HOSPITAL,02/24/2022 12:00:00 AM,02/22/2022 12:00:00 AM,96,,
2022-03-03T10-04-44,56308,ALOMERE-DOUGLAS COUNTY HOSPITAL,02/24/2022 12:00:00 AM,02/22/2022 12:00:00 AM,96,,
2022-03-08T14-40-56,56308,ALOMERE-DOUGLAS COUNTY HOSPITAL,02/24/2022 12:00:00 AM,02/22/2022 12:00:00 AM,96,,
2022-04-08T05-48-29,56308,ALOMERE-DOUGLAS COUNTY HOSPITAL,NLP,NLP,NLP,37,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,56308,ALOMERE-DOUGLAS COUNTY HOSPITAL,NLP,NLP,NLP,36,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,56308,ALOMERE-DOUGLAS COUNTY HOSPITAL,NLP,NLP,NLP,36,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,56308,ALOMERE-DOUGLAS COUNTY HOSPITAL,NLP,NLP,NLP,36,04/08/2022 12:00:00 AM
2022-04-12T07-06-55,56308,ALOMERE-DOUGLAS COUNTY HOSPITAL,NLP,NLP,NLP,36,04/08/2022 12:00:00 AM
2022-04-13T09-20-57,56308,ALOMERE-DOUGLAS COUNTY HOSPITAL,NLP,NLP,NLP,36,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,56308,ALOMERE-DOUGLAS COUNTY HOSPITAL,NLP,NLP,NLP,36,04/12/2022 12:00:00 AM
2022-04-14T09-18-06,56308,ALOMERE-DOUGLAS COUNTY HOSPITAL,NLP,NLP,NLP,36,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,56308,ALOMERE-DOUGLAS COUNTY HOSPITAL,NLP,NLP,NLP,36,04/13/2022 12:00:00 AM
2022-04-16T05-33-42,56308,ALOMERE-DOUGLAS COUNTY HOSPITAL,NLP,NLP,NLP,35,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,56308,ALOMERE-DOUGLAS COUNTY HOSPITAL,NLP,NLP,NLP,35,04/15/2022 12:00:00 AM
