2022-01-07T08-09-36,58316,Belcourt SU  - Quentin N. Burdik,01/04/2022 12:00:00 AM,,24,,
2022-02-07T09-54-34,58316,Belcourt SU  - Quentin N. Burdik,01/13/2022 12:00:00 AM,01/20/2022 12:00:00 AM,48,,
2022-02-09T09-41-46,58316,Belcourt SU  - Quentin N. Burdik,01/13/2022 12:00:00 AM,01/20/2022 12:00:00 AM,48,,
2022-02-16T18-37-01,58316,Belcourt SU  - Quentin N. Burdik,01/13/2022 12:00:00 AM,01/20/2022 12:00:00 AM,48,,
2022-02-18T15-54-16,58316,Belcourt SU  - Quentin N. Burdik,01/13/2022 12:00:00 AM,01/20/2022 12:00:00 AM,48,,
2022-02-18T16-04-21,58316,Belcourt SU  - Quentin N. Burdik,01/13/2022 12:00:00 AM,01/20/2022 12:00:00 AM,48,,
2022-02-22T09-09-37,58316,Belcourt SU  - Quentin N. Burdik,01/13/2022 12:00:00 AM,01/20/2022 12:00:00 AM,48,,
2022-02-24T09-51-18,58316,Belcourt SU  - Quentin N. Burdik,01/13/2022 12:00:00 AM,01/20/2022 12:00:00 AM,48,,
2022-03-03T09-56-49,58316,Belcourt SU  - Quentin N. Burdik,01/13/2022 12:00:00 AM,01/20/2022 12:00:00 AM,48,,
2022-03-03T10-04-44,58316,Belcourt SU  - Quentin N. Burdik,01/13/2022 12:00:00 AM,01/20/2022 12:00:00 AM,48,,
2022-03-08T14-40-56,58316,Belcourt SU  - Quentin N. Burdik,01/13/2022 12:00:00 AM,01/20/2022 12:00:00 AM,48,,
2022-06-30T04-15-32,58316,Belcourt SU  - Quentin N. Burdik,NLP,NLP,NLP,24,06/29/2022 12:00:00 AM
2022-07-01T04-15-22,58316,Belcourt SU  - Quentin N. Burdik,NLP,NLP,NLP,24,06/29/2022 12:00:00 AM
2022-07-03T14-40-38,58316,Belcourt SU  - Quentin N. Burdik,NLP,NLP,NLP,24,06/29/2022 12:00:00 AM
2022-07-04T04-15-29,58316,Belcourt SU  - Quentin N. Burdik,NLP,NLP,NLP,24,06/29/2022 12:00:00 AM
2022-07-05T04-15-18,58316,Belcourt SU  - Quentin N. Burdik,NLP,NLP,NLP,24,06/29/2022 12:00:00 AM
2022-07-06T04-15-19,58316,Belcourt SU  - Quentin N. Burdik,NLP,NLP,NLP,24,06/29/2022 12:00:00 AM
2022-07-07T04-15-17,58316,Belcourt SU  - Quentin N. Burdik,NLP,NLP,NLP,24,06/29/2022 12:00:00 AM
2022-07-07T13-15-18,58316,Belcourt SU  - Quentin N. Burdik,NLP,NLP,NLP,24,06/29/2022 12:00:00 AM
2022-07-08T04-15-19,58316,Belcourt SU  - Quentin N. Burdik,NLP,NLP,NLP,24,06/29/2022 12:00:00 AM
2022-07-09T04-15-19,58316,Belcourt SU  - Quentin N. Burdik,NLP,NLP,NLP,24,06/29/2022 12:00:00 AM
2022-07-10T04-15-26,58316,Belcourt SU  - Quentin N. Burdik,NLP,NLP,NLP,24,06/29/2022 12:00:00 AM
2022-07-11T04-15-25,58316,Belcourt SU  - Quentin N. Burdik,NLP,NLP,NLP,24,06/29/2022 12:00:00 AM
2022-07-12T04-15-22,58316,Belcourt SU  - Quentin N. Burdik,NLP,NLP,NLP,24,06/29/2022 12:00:00 AM
2022-07-13T04-15-22,58316,Belcourt SU  - Quentin N. Burdik,NLP,NLP,NLP,24,06/29/2022 12:00:00 AM
