2022-02-16T08-23-53,58730,St Lukes Hospital,,,0,5,02/14/2022 12:00:00 AM
2022-05-25T05-39-27,58730,St Lukes Hospital,NLP,NLP,NLP,5,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,58730,St Lukes Hospital,NLP,NLP,NLP,5,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,58730,St Lukes Hospital,NLP,NLP,NLP,5,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,58730,St Lukes Hospital,NLP,NLP,NLP,5,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,58730,St Lukes Hospital,NLP,NLP,NLP,5,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,58730,St Lukes Hospital,NLP,NLP,NLP,5,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,58730,St Lukes Hospital,NLP,NLP,NLP,5,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,58730,St Lukes Hospital,NLP,NLP,NLP,5,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,58730,St Lukes Hospital,NLP,NLP,NLP,5,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,58730,St Lukes Hospital,NLP,NLP,NLP,5,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,58730,St Lukes Hospital,NLP,NLP,NLP,5,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,58730,St Lukes Hospital,NLP,NLP,NLP,5,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,58730,St Lukes Hospital,NLP,NLP,NLP,5,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,58730,St Lukes Hospital,NLP,NLP,NLP,5,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,58730,St Lukes Hospital,NLP,NLP,NLP,5,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,58730,St Lukes Hospital,NLP,NLP,NLP,5,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,58730,St Lukes Hospital,NLP,NLP,NLP,5,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,58730,St Lukes Hospital,NLP,NLP,NLP,5,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,58730,St Lukes Hospital,NLP,NLP,NLP,5,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,58730,St Lukes Hospital,NLP,NLP,NLP,5,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,58730,St Lukes Hospital,NLP,NLP,NLP,5,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,58730,St Lukes Hospital,NLP,NLP,NLP,5,05/24/2022 12:00:00 AM
