2022-03-08T14-40-56,60435,BASINGERS PHARMACY,03/04/2022 12:00:00 AM,03/08/2022 12:00:00 AM,264,,
2022-06-17T04-15-27,60435,AMITA ST. JOSEPH MEDICAL CENTER,NLP,NLP,NLP,26,06/16/2022 12:00:00 AM
2022-06-18T04-15-18,60435,AMITA ST. JOSEPH MEDICAL CENTER,NLP,NLP,NLP,26,06/16/2022 12:00:00 AM
2022-06-19T04-15-29,60435,AMITA ST. JOSEPH MEDICAL CENTER,NLP,NLP,NLP,26,06/16/2022 12:00:00 AM
2022-06-20T04-15-58,60435,AMITA ST. JOSEPH MEDICAL CENTER,NLP,NLP,NLP,26,06/16/2022 12:00:00 AM
2022-06-21T04-15-35,60435,AMITA ST. JOSEPH MEDICAL CENTER,NLP,NLP,NLP,26,06/20/2022 12:00:00 AM
2022-06-22T04-15-20,60435,AMITA ST. JOSEPH MEDICAL CENTER,NLP,NLP,NLP,26,06/20/2022 12:00:00 AM
2022-06-23T04-15-16,60435,AMITA ST. JOSEPH MEDICAL CENTER,NLP,NLP,NLP,26,06/20/2022 12:00:00 AM
2022-07-06T04-15-19,60435,AMITA ST. JOSEPH MEDICAL CENTER,NLP,NLP,NLP,24,07/05/2022 12:00:00 AM
2022-07-07T04-15-17,60435,AMITA ST. JOSEPH MEDICAL CENTER,NLP,NLP,NLP,24,07/05/2022 12:00:00 AM
2022-07-07T13-15-18,60435,AMITA ST. JOSEPH MEDICAL CENTER,NLP,NLP,NLP,24,07/05/2022 12:00:00 AM
2022-07-08T04-15-19,60435,AMITA ST. JOSEPH MEDICAL CENTER,NLP,NLP,NLP,24,07/07/2022 12:00:00 AM
2022-07-09T04-15-19,60435,AMITA ST. JOSEPH MEDICAL CENTER,NLP,NLP,NLP,24,07/07/2022 12:00:00 AM
2022-07-10T04-15-26,60435,AMITA ST. JOSEPH MEDICAL CENTER,NLP,NLP,NLP,24,07/07/2022 12:00:00 AM
