2022-03-08T14-40-56,61938,SARAH BUSH LINCOLN HOSPITAL,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,24,,
2022-07-12T04-15-22,61938,SARAH BUSH LINCOLN HOSPITAL,NLP,NLP,NLP,11,07/11/2022 12:00:00 AM
2022-07-13T04-15-22,61938,SARAH BUSH LINCOLN HOSPITAL,NLP,NLP,NLP,11,07/11/2022 12:00:00 AM
2022-07-14T04-15-29,61938,SARAH BUSH LINCOLN HOSPITAL,NLP,NLP,NLP,11,07/11/2022 12:00:00 AM
2022-07-15T04-15-46,61938,SARAH BUSH LINCOLN HOSPITAL,NLP,NLP,NLP,11,07/11/2022 12:00:00 AM
2022-07-17T04-15-18,61938,SARAH BUSH LINCOLN HOSPITAL,NLP,NLP,NLP,11,07/11/2022 12:00:00 AM
2022-07-18T04-15-21,61938,SARAH BUSH LINCOLN HOSPITAL,NLP,NLP,NLP,11,07/11/2022 12:00:00 AM
2022-07-18T07-55-19,61938,SARAH BUSH LINCOLN HOSPITAL,NLP,NLP,NLP,11,07/11/2022 12:00:00 AM
2022-07-19T04-15-25,61938,SARAH BUSH LINCOLN HOSPITAL,NLP,NLP,NLP,11,07/11/2022 12:00:00 AM
2022-07-20T04-15-41,61938,SARAH BUSH LINCOLN HOSPITAL,NLP,NLP,NLP,11,07/11/2022 12:00:00 AM
2022-07-21T04-15-40,61938,SARAH BUSH LINCOLN HOSPITAL,NLP,NLP,NLP,11,07/11/2022 12:00:00 AM
2022-07-22T04-15-29,61938,SARAH BUSH LINCOLN HOSPITAL,NLP,NLP,NLP,11,07/11/2022 12:00:00 AM
2022-07-23T04-15-20,61938,SARAH BUSH LINCOLN HOSPITAL,NLP,NLP,NLP,11,07/11/2022 12:00:00 AM
