2022-03-08T14-40-56,67501,The Medicine Shoppe,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,24,,
2022-03-16T18-51-35,67501,The Medicine Shoppe,NLP,NLP,NLP,24,03/10/2022 12:00:00 AM
2022-03-16T18-51-35,67501,THE MEDICINE SHOPPE PHARMACY,NLP,NLP,NLP,24,03/08/2022 12:00:00 AM
2022-03-18T09-58-11,67501,The Medicine Shoppe,NLP,NLP,NLP,24,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,67501,The Medicine Shoppe,NLP,NLP,NLP,24,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,67501,The Medicine Shoppe,NLP,NLP,NLP,24,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,67501,The Medicine Shoppe,NLP,NLP,NLP,24,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,67501,The Medicine Shoppe,NLP,NLP,NLP,24,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,67501,The Medicine Shoppe,NLP,NLP,NLP,24,03/17/2022 12:00:00 AM
2022-03-20T06-05-37,67501,The Medicine Shoppe,NLP,NLP,NLP,24,03/17/2022 12:00:00 AM
2022-03-21T06-11-50,67501,The Medicine Shoppe,NLP,NLP,NLP,24,03/17/2022 12:00:00 AM
2022-03-21T14-18-38,67501,The Medicine Shoppe,NLP,NLP,NLP,24,03/17/2022 12:00:00 AM
2022-03-21T16-35-27,67501,THE MEDICINE SHOPPE PHARMACY,NLP,NLP,NLP,24,03/21/2022 12:00:00 AM
2022-03-21T16-35-27,67501,The Medicine Shoppe,NLP,NLP,NLP,24,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,67501,THE MEDICINE SHOPPE PHARMACY,NLP,NLP,NLP,24,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,67501,The Medicine Shoppe,NLP,NLP,NLP,24,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,67501,THE MEDICINE SHOPPE PHARMACY,NLP,NLP,NLP,24,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,67501,The Medicine Shoppe,NLP,NLP,NLP,24,03/21/2022 12:00:00 AM
2022-03-24T07-49-11,67501,THE MEDICINE SHOPPE PHARMACY,NLP,NLP,NLP,24,03/21/2022 12:00:00 AM
2022-03-24T07-49-11,67501,The Medicine Shoppe,NLP,NLP,NLP,24,03/21/2022 12:00:00 AM
