2022-03-08T14-40-56,68803,CHI ST FRANCIS GRAND ISLAND,03/07/2022 12:00:00 AM,,24,,
2022-03-16T18-51-35,68803,CHI ST FRANCIS GRAND ISLAND,NLP,NLP,NLP,69,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,68803,CHI ST FRANCIS GRAND ISLAND,NLP,NLP,NLP,63,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,68803,CHI ST FRANCIS GRAND ISLAND,NLP,NLP,NLP,63,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,68803,CHI ST FRANCIS GRAND ISLAND,NLP,NLP,NLP,56,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,68803,CHI ST FRANCIS GRAND ISLAND,NLP,NLP,NLP,56,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,68803,CHI ST FRANCIS GRAND ISLAND,NLP,NLP,NLP,53,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,68803,CHI ST FRANCIS GRAND ISLAND,NLP,NLP,NLP,53,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,68803,CHI ST FRANCIS GRAND ISLAND,NLP,NLP,NLP,53,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,68803,CHI ST FRANCIS GRAND ISLAND,NLP,NLP,NLP,53,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,68803,CHI ST FRANCIS GRAND ISLAND,NLP,NLP,NLP,53,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,68803,CHI ST FRANCIS GRAND ISLAND,NLP,NLP,NLP,51,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,68803,CHI ST FRANCIS GRAND ISLAND,NLP,NLP,NLP,51,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,68803,CHI ST FRANCIS GRAND ISLAND,NLP,NLP,NLP,49,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,68803,CHI ST FRANCIS GRAND ISLAND,NLP,NLP,NLP,49,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,68803,CHI ST FRANCIS GRAND ISLAND,NLP,NLP,NLP,47,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,68803,CHI ST FRANCIS GRAND ISLAND,NLP,NLP,NLP,47,03/24/2022 12:00:00 AM
