2022-03-08T14-40-56,77026,LBJ INFUSION CENTER,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,48,24,03/03/2022 12:00:00 AM
2022-03-16T18-51-35,77026,LBJ INFUSION CENTER,NLP,NLP,NLP,72,03/08/2022 12:00:00 AM
2022-03-29T08-50-48,77026,LBJ INFUSION CENTER,NLP,NLP,NLP,72,03/08/2022 12:00:00 AM
2022-03-30T09-27-07,77026,LBJ INFUSION CENTER,NLP,NLP,NLP,72,03/08/2022 12:00:00 AM
2022-03-31T08-53-07,77026,LBJ INFUSION CENTER,NLP,NLP,NLP,72,03/08/2022 12:00:00 AM
2022-03-31T15-09-22,77026,LBJ INFUSION CENTER,NLP,NLP,NLP,72,03/08/2022 12:00:00 AM
2022-04-01T06-54-45,77026,LBJ INFUSION CENTER,NLP,NLP,NLP,72,03/08/2022 12:00:00 AM
2022-04-02T06-05-59,77026,LBJ INFUSION CENTER,NLP,NLP,NLP,72,03/08/2022 12:00:00 AM
2022-04-03T05-51-54,77026,LBJ INFUSION CENTER,NLP,NLP,NLP,72,03/08/2022 12:00:00 AM
2022-04-04T05-38-24,77026,LBJ INFUSION CENTER,NLP,NLP,NLP,72,03/08/2022 12:00:00 AM
2022-04-05T05-48-33,77026,LBJ INFUSION CENTER,NLP,NLP,NLP,72,03/08/2022 12:00:00 AM
2022-04-06T05-45-18,77026,LBJ INFUSION CENTER,NLP,NLP,NLP,72,03/08/2022 12:00:00 AM
2022-04-07T05-34-07,77026,LBJ INFUSION CENTER,NLP,NLP,NLP,72,03/08/2022 12:00:00 AM
2022-04-08T05-48-29,77026,LBJ INFUSION CENTER,NLP,NLP,NLP,72,03/08/2022 12:00:00 AM
2022-04-09T05-41-09,77026,LBJ INFUSION CENTER,NLP,NLP,NLP,72,03/08/2022 12:00:00 AM
2022-04-10T09-31-27,77026,LBJ INFUSION CENTER,NLP,NLP,NLP,72,03/08/2022 12:00:00 AM
2022-04-11T07-06-23,77026,LBJ INFUSION CENTER,NLP,NLP,NLP,72,03/08/2022 12:00:00 AM
2022-04-12T07-06-55,77026,LBJ INFUSION CENTER,NLP,NLP,NLP,72,03/08/2022 12:00:00 AM
2022-04-13T09-20-57,77026,LBJ INFUSION CENTER,NLP,NLP,NLP,72,03/08/2022 12:00:00 AM
2022-04-13T11-55-39,77026,LBJ INFUSION CENTER,NLP,NLP,NLP,72,03/08/2022 12:00:00 AM
2022-04-14T09-18-06,77026,LBJ INFUSION CENTER,NLP,NLP,NLP,72,03/08/2022 12:00:00 AM
2022-04-15T06-03-51,77026,LBJ INFUSION CENTER,NLP,NLP,NLP,72,03/08/2022 12:00:00 AM
2022-04-16T05-33-42,77026,LBJ INFUSION CENTER,NLP,NLP,NLP,72,03/08/2022 12:00:00 AM
2022-04-17T05-32-24,77026,LBJ INFUSION CENTER,NLP,NLP,NLP,72,03/08/2022 12:00:00 AM
2022-04-18T05-31-10,77026,LBJ INFUSION CENTER,NLP,NLP,NLP,72,03/08/2022 12:00:00 AM
2022-04-19T05-39-24,77026,LBJ INFUSION CENTER,NLP,NLP,NLP,72,03/08/2022 12:00:00 AM
