2022-03-08T14-40-56,78214,CARVAJAL PHARMACY SAN ANTONIO 341,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,48,48,03/06/2022 12:00:00 AM
2022-03-16T18-51-35,78214,CARVAJAL PHARMACY SAN ANTONIO 341,NLP,NLP,NLP,24,03/10/2022 12:00:00 AM
2022-03-18T09-58-11,78214,CARVAJAL PHARMACY SAN ANTONIO 341,NLP,NLP,NLP,24,03/10/2022 12:00:00 AM
2022-03-18T11-03-37,78214,CARVAJAL PHARMACY SAN ANTONIO 341,NLP,NLP,NLP,24,03/10/2022 12:00:00 AM
2022-03-29T08-50-48,78214,CARVAJAL PHARMACY SAN ANTONIO 341,NLP,NLP,NLP,24,03/10/2022 12:00:00 AM
2022-03-30T09-27-07,78214,CARVAJAL PHARMACY SAN ANTONIO 341,NLP,NLP,NLP,24,03/10/2022 12:00:00 AM
2022-03-31T08-53-07,78214,CARVAJAL PHARMACY SAN ANTONIO 341,NLP,NLP,NLP,24,03/10/2022 12:00:00 AM
2022-03-31T15-09-22,78214,CARVAJAL PHARMACY SAN ANTONIO 341,NLP,NLP,NLP,24,03/10/2022 12:00:00 AM
2022-04-01T06-54-45,78214,CARVAJAL PHARMACY SAN ANTONIO 341,NLP,NLP,NLP,24,03/10/2022 12:00:00 AM
2022-04-02T06-05-59,78214,CARVAJAL PHARMACY SAN ANTONIO 341,NLP,NLP,NLP,24,03/10/2022 12:00:00 AM
2022-04-03T05-51-54,78214,CARVAJAL PHARMACY SAN ANTONIO 341,NLP,NLP,NLP,24,03/10/2022 12:00:00 AM
2022-04-04T05-38-24,78214,CARVAJAL PHARMACY SAN ANTONIO 341,NLP,NLP,NLP,24,03/10/2022 12:00:00 AM
