2022-03-08T14-40-56,00613,HOSPITAL PAVIA ARECIBO,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,20,20,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,00613,HOSPITAL PAVIA ARECIBO,NLP,NLP,NLP,20,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,00613,HOSPITAL PAVIA ARECIBO,NLP,NLP,NLP,20,03/11/2022 12:00:00 AM
2022-03-18T11-03-37,00613,HOSPITAL PAVIA ARECIBO,NLP,NLP,NLP,20,03/11/2022 12:00:00 AM
2022-03-18T11-17-38,00613,HOSPITAL PAVIA ARECIBO,NLP,NLP,NLP,20,03/11/2022 12:00:00 AM
2022-03-18T15-22-50,00613,HOSPITAL PAVIA ARECIBO,NLP,NLP,NLP,20,03/11/2022 12:00:00 AM
2022-03-19T08-15-59,00613,HOSPITAL PAVIA ARECIBO,NLP,NLP,NLP,20,03/11/2022 12:00:00 AM
2022-03-29T08-50-48,00613,HOSPITAL PAVIA ARECIBO,NLP,NLP,NLP,20,03/11/2022 12:00:00 AM
2022-03-30T09-27-07,00613,HOSPITAL PAVIA ARECIBO,NLP,NLP,NLP,20,03/11/2022 12:00:00 AM
2022-03-31T08-53-07,00613,HOSPITAL PAVIA ARECIBO,NLP,NLP,NLP,20,03/11/2022 12:00:00 AM
2022-03-31T15-09-22,00613,HOSPITAL PAVIA ARECIBO,NLP,NLP,NLP,20,03/11/2022 12:00:00 AM
2022-04-01T06-54-45,00613,HOSPITAL PAVIA ARECIBO,NLP,NLP,NLP,20,03/11/2022 12:00:00 AM
2022-04-02T06-05-59,00613,HOSPITAL PAVIA ARECIBO,NLP,NLP,NLP,20,03/11/2022 12:00:00 AM
2022-04-03T05-51-54,00613,HOSPITAL PAVIA ARECIBO,NLP,NLP,NLP,20,03/11/2022 12:00:00 AM
2022-04-04T05-38-24,00613,HOSPITAL PAVIA ARECIBO,NLP,NLP,NLP,20,03/11/2022 12:00:00 AM
2022-04-05T05-48-33,00613,HOSPITAL PAVIA ARECIBO,NLP,NLP,NLP,20,03/11/2022 12:00:00 AM
2022-04-06T05-45-18,00613,HOSPITAL PAVIA ARECIBO,NLP,NLP,NLP,20,03/11/2022 12:00:00 AM
2022-04-07T05-34-07,00613,HOSPITAL PAVIA ARECIBO,NLP,NLP,NLP,20,03/11/2022 12:00:00 AM
