2022-02-18T16-04-21,00650,Primarios de Salud,02/11/2022 12:00:00 AM,02/16/2022 12:00:00 AM,20,0,02/08/2022 12:00:00 AM
2022-03-18T09-58-11,00650,Primarios de Salud,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T09-58-11,00650,2005-CNTRO SERVI PRIMA SALUD 330,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,00650,Primarios de Salud,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,00650,2005-CNTRO SERVI PRIMA SALUD 330,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,00650,2005-CNTRO SERVI PRIMA SALUD 330,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,00650,Primarios de Salud,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T15-22-50,00650,2005-CNTRO SERVI PRIMA SALUD 330,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T15-22-50,00650,Primarios de Salud,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-19T08-15-59,00650,2005-CNTRO SERVI PRIMA SALUD 330,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-19T08-15-59,00650,Primarios de Salud,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
