2022-02-09T09-41-46,02780,Pharmerica Taunton,02/03/2022 12:00:00 AM,,20,,
2022-02-10T21-04-53,02780,Pharmerica Taunton,02/09/2022 12:00:00 AM,02/09/2022 12:00:00 AM,40,20,02/10/2022 12:00:00 AM
2022-02-14T09-23-55,02780,Pharmerica Taunton,02/09/2022 12:00:00 AM,02/09/2022 12:00:00 AM,40,40,02/11/2022 12:00:00 AM
2022-02-15T10-17-36,02780,Pharmerica Taunton,02/09/2022 12:00:00 AM,02/09/2022 12:00:00 AM,40,40,02/11/2022 12:00:00 AM
2022-02-16T08-11-48,02780,Walgreens Store #15591,02/09/2022 12:00:00 AM,02/11/2022 12:00:00 AM,40,39,02/14/2022 12:00:00 AM
2022-02-16T08-11-48,02780,Pharmerica Taunton,02/09/2022 12:00:00 AM,02/11/2022 12:00:00 AM,40,40,02/14/2022 12:00:00 AM
2022-02-16T08-23-53,02780,Pharmerica Taunton,02/09/2022 12:00:00 AM,02/11/2022 12:00:00 AM,40,40,02/15/2022 12:00:00 AM
2022-02-16T08-23-53,02780,Walgreens Store #15591,02/09/2022 12:00:00 AM,02/11/2022 12:00:00 AM,40,39,02/15/2022 12:00:00 AM
2022-02-16T18-37-01,02780,Pharmerica Taunton,02/09/2022 12:00:00 AM,02/11/2022 12:00:00 AM,40,40,02/16/2022 12:00:00 AM
2022-02-16T18-37-01,02780,Walgreens Store #15591,02/09/2022 12:00:00 AM,02/11/2022 12:00:00 AM,40,38,02/16/2022 12:00:00 AM
2022-02-18T15-54-16,02780,Pharmerica Taunton,02/09/2022 12:00:00 AM,02/11/2022 12:00:00 AM,40,40,02/17/2022 12:00:00 AM
2022-02-18T15-54-16,02780,Walgreens Store #15591,02/09/2022 12:00:00 AM,02/11/2022 12:00:00 AM,40,38,02/17/2022 12:00:00 AM
2022-02-18T16-04-21,02780,Pharmerica Taunton,02/09/2022 12:00:00 AM,02/11/2022 12:00:00 AM,40,40,02/18/2022 12:00:00 AM
2022-02-18T16-04-21,02780,Walgreens Store #15591,02/09/2022 12:00:00 AM,02/11/2022 12:00:00 AM,40,38,02/18/2022 12:00:00 AM
2022-02-22T09-09-37,02780,Walgreens Store #15591,02/09/2022 12:00:00 AM,02/11/2022 12:00:00 AM,40,38,02/21/2022 12:00:00 AM
2022-02-22T09-09-37,02780,Pharmerica Taunton,02/09/2022 12:00:00 AM,02/11/2022 12:00:00 AM,40,39,02/21/2022 12:00:00 AM
