2022-02-18T16-04-21,03909,YORK HOSPITAL,02/11/2022 12:00:00 AM,02/17/2022 12:00:00 AM,20,0,02/10/2022 12:00:00 AM
2022-03-25T08-10-53,03909,YORK HOSPITAL,NLP,NLP,NLP,37,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,03909,YORK HOSPITAL,NLP,NLP,NLP,37,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,03909,YORK HOSPITAL,NLP,NLP,NLP,37,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,03909,YORK HOSPITAL,NLP,NLP,NLP,37,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,03909,YORK HOSPITAL,NLP,NLP,NLP,37,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,03909,YORK HOSPITAL,NLP,NLP,NLP,37,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,03909,YORK HOSPITAL,NLP,NLP,NLP,37,03/23/2022 12:00:00 AM
2022-03-31T08-53-07,03909,YORK HOSPITAL,NLP,NLP,NLP,37,03/23/2022 12:00:00 AM
2022-03-31T15-09-22,03909,YORK HOSPITAL,NLP,NLP,NLP,37,03/23/2022 12:00:00 AM
2022-04-01T06-54-45,03909,YORK HOSPITAL,NLP,NLP,NLP,37,03/23/2022 12:00:00 AM
2022-04-02T06-05-59,03909,YORK HOSPITAL,NLP,NLP,NLP,37,03/23/2022 12:00:00 AM
2022-04-03T05-51-54,03909,YORK HOSPITAL,NLP,NLP,NLP,37,03/23/2022 12:00:00 AM
2022-04-04T05-38-24,03909,YORK HOSPITAL,NLP,NLP,NLP,37,03/23/2022 12:00:00 AM
2022-04-05T05-48-33,03909,YORK HOSPITAL,NLP,NLP,NLP,37,03/23/2022 12:00:00 AM
2022-04-06T05-45-18,03909,YORK HOSPITAL,NLP,NLP,NLP,37,03/23/2022 12:00:00 AM
