2022-05-17T05-27-38,07059,Walgreens Store #13706,NLP,NLP,NLP,1,05/16/2022 12:00:00 AM
2022-05-18T05-40-23,07059,WALGREENS STORE #13706,NLP,NLP,NLP,1,05/17/2022 12:00:00 AM
2022-05-19T05-25-31,07059,WALGREENS STORE #13706,NLP,NLP,NLP,1,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,07059,WALGREENS STORE #13706,NLP,NLP,NLP,1,05/18/2022 12:00:00 AM
2022-05-21T05-54-21,07059,WALGREENS STORE #13706,NLP,NLP,NLP,1,05/19/2022 12:00:00 AM
2022-05-22T09-07-10,07059,WALGREENS STORE #13706,NLP,NLP,NLP,1,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,07059,WALGREENS STORE #13706,NLP,NLP,NLP,1,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,07059,WALGREENS STORE #13706,NLP,NLP,NLP,1,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,07059,WALGREENS STORE #13706,NLP,NLP,NLP,1,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,07059,WALGREENS STORE #13706,NLP,NLP,NLP,1,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,07059,WALGREENS STORE #13706,NLP,NLP,NLP,1,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,07059,WALGREENS STORE #13706,NLP,NLP,NLP,1,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,07059,WALGREENS STORE #13706,NLP,NLP,NLP,1,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,07059,WALGREENS STORE #13706,NLP,NLP,NLP,1,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,07059,WALGREENS STORE #13706,NLP,NLP,NLP,1,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,07059,WALGREENS STORE #13706,NLP,NLP,NLP,1,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,07059,WALGREENS STORE #13706,NLP,NLP,NLP,1,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,07059,WALGREENS STORE #13706,NLP,NLP,NLP,1,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,07059,WALGREENS STORE #13706,NLP,NLP,NLP,1,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,07059,WALGREENS STORE #13706,NLP,NLP,NLP,1,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,07059,WALGREENS STORE #13706,NLP,NLP,NLP,1,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,07059,WALGREENS STORE #13706,NLP,NLP,NLP,1,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,07059,EDGEWOOD PHARMACY,NLP,NLP,NLP,19,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,07059,EDGEWOOD PHARMACY,NLP,NLP,NLP,19,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,07059,EDGEWOOD PHARMACY,NLP,NLP,NLP,19,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,07059,EDGEWOOD PHARMACY,NLP,NLP,NLP,19,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,07059,EDGEWOOD PHARMACY,NLP,NLP,NLP,19,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,07059,EDGEWOOD PHARMACY,NLP,NLP,NLP,19,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,07059,EDGEWOOD PHARMACY,NLP,NLP,NLP,19,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,07059,EDGEWOOD PHARMACY,NLP,NLP,NLP,19,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,07059,EDGEWOOD PHARMACY,NLP,NLP,NLP,19,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,07059,EDGEWOOD PHARMACY,NLP,NLP,NLP,19,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,07059,EDGEWOOD PHARMACY,NLP,NLP,NLP,19,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,07059,EDGEWOOD PHARMACY,NLP,NLP,NLP,19,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,07059,EDGEWOOD PHARMACY,NLP,NLP,NLP,19,05/23/2022 12:00:00 AM
