2022-03-08T14-40-56,11790,Long Island State Veterans Home 100,03/03/2022 12:00:00 AM,03/05/2022 12:00:00 AM,20,,
2022-04-15T06-03-51,11790,Long Island State Veterans Home 100,NLP,NLP,NLP,16,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,11790,Long Island State Veterans Home 100,NLP,NLP,NLP,16,04/14/2022 12:00:00 AM
2022-04-17T05-32-24,11790,Long Island State Veterans Home 100,NLP,NLP,NLP,16,04/14/2022 12:00:00 AM
2022-04-18T05-31-10,11790,Long Island State Veterans Home 100,NLP,NLP,NLP,16,04/14/2022 12:00:00 AM
2022-04-19T05-39-24,11790,Long Island State Veterans Home 100,NLP,NLP,NLP,16,04/14/2022 12:00:00 AM
2022-04-20T05-27-37,11790,Long Island State Veterans Home 100,NLP,NLP,NLP,16,04/14/2022 12:00:00 AM
2022-04-21T05-29-54,11790,Long Island State Veterans Home 100,NLP,NLP,NLP,16,04/14/2022 12:00:00 AM
2022-04-22T05-26-18,11790,Long Island State Veterans Home 100,NLP,NLP,NLP,16,04/14/2022 12:00:00 AM
2022-04-23T05-25-10,11790,Long Island State Veterans Home 100,NLP,NLP,NLP,16,04/14/2022 12:00:00 AM
2022-04-24T05-22-24,11790,Long Island State Veterans Home 100,NLP,NLP,NLP,16,04/14/2022 12:00:00 AM
2022-04-25T05-22-33,11790,Long Island State Veterans Home 100,NLP,NLP,NLP,16,04/14/2022 12:00:00 AM
2022-04-26T05-20-54,11790,Long Island State Veterans Home 100,NLP,NLP,NLP,36,04/25/2022 12:00:00 AM
