2022-03-08T14-40-56,12983,ADIRONDACK MEDICAL CTR,03/03/2022 12:00:00 AM,03/07/2022 12:00:00 AM,20,,
2022-05-19T05-25-31,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/18/2022 12:00:00 AM
2022-05-21T05-54-21,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-22T09-07-10,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
2022-05-24T05-46-03,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/23/2022 12:00:00 AM
2022-05-25T05-39-27,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/24/2022 12:00:00 AM
2022-05-25T05-39-27,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/24/2022 12:00:00 AM
2022-05-26T07-59-29,12983,WALGREENS STORE #17227,NLP,NLP,NLP,40,05/25/2022 12:00:00 AM
2022-05-26T07-59-29,12983,WALGREENS STORE #17227,NLP,NLP,NLP,40,05/25/2022 12:00:00 AM
2022-05-26T07-59-29,12983,WALGREENS STORE #17227,NLP,NLP,NLP,40,05/25/2022 12:00:00 AM
2022-05-27T05-48-57,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/26/2022 12:00:00 AM
2022-05-28T05-34-18,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/26/2022 12:00:00 AM
2022-05-29T05-31-58,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/26/2022 12:00:00 AM
2022-05-30T05-32-42,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/26/2022 12:00:00 AM
2022-05-31T08-56-01,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/26/2022 12:00:00 AM
2022-06-01T05-37-50,12983,WALGREENS STORE #17227,NLP,NLP,NLP,20,05/26/2022 12:00:00 AM
2022-06-02T07-54-10,12983,WALGREENS STORE #17227,NLP,NLP,NLP,14,06/01/2022 12:00:00 AM
2022-06-03T08-50-11,12983,WALGREENS STORE #17227,NLP,NLP,NLP,14,06/01/2022 12:00:00 AM
2022-06-04T19-11-08,12983,WALGREENS STORE #17227,NLP,NLP,NLP,14,06/03/2022 12:00:00 AM
2022-06-05T08-48-25,12983,WALGREENS STORE #17227,NLP,NLP,NLP,14,06/03/2022 12:00:00 AM
