2022-03-08T14-40-56,14620,HIGHLAND HOSPITAL,03/03/2022 12:00:00 AM,03/07/2022 12:00:00 AM,40,40,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,14620,HIGHLAND HOSPITAL,NLP,NLP,NLP,37,03/10/2022 12:00:00 AM
2022-03-18T11-17-38,14620,HIGHLAND HOSPITAL,NLP,NLP,NLP,34,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,14620,HIGHLAND HOSPITAL,NLP,NLP,NLP,34,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,14620,HIGHLAND HOSPITAL,NLP,NLP,NLP,34,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,14620,HIGHLAND HOSPITAL,NLP,NLP,NLP,32,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,14620,HIGHLAND HOSPITAL,NLP,NLP,NLP,32,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,14620,HIGHLAND HOSPITAL,NLP,NLP,NLP,32,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,14620,HIGHLAND HOSPITAL,NLP,NLP,NLP,32,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,14620,HIGHLAND HOSPITAL,NLP,NLP,NLP,32,03/18/2022 12:00:00 AM
2022-03-22T09-16-18,14620,HIGHLAND HOSPITAL,NLP,NLP,NLP,31,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,14620,Walgreens Store #09584,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-23T08-41-43,14620,HIGHLAND HOSPITAL,NLP,NLP,NLP,31,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,14620,Walgreens Store #09584,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,14620,HIGHLAND HOSPITAL,NLP,NLP,NLP,31,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,14620,Walgreens Store #09584,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-03-24T13-46-29,14620,CVS Store #00547,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-24T13-46-29,14620,HIGHLAND HOSPITAL,NLP,NLP,NLP,30,03/23/2022 12:00:00 AM
