2022-03-08T14-40-56,14740,Heritage Village Rehab C19,03/03/2022 12:00:00 AM,03/07/2022 12:00:00 AM,20,20,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,14740,Heritage Village Rehab C19,NLP,NLP,NLP,72,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,14740,Heritage Village Rehab C19,NLP,NLP,NLP,20,03/14/2022 12:00:00 AM
2022-03-18T11-03-37,14740,Heritage Village Rehab C19,NLP,NLP,NLP,20,03/14/2022 12:00:00 AM
2022-03-18T11-17-38,14740,Heritage Village Rehab C19,NLP,NLP,NLP,20,03/14/2022 12:00:00 AM
2022-03-18T15-22-50,14740,Heritage Village Rehab C19,NLP,NLP,NLP,20,03/14/2022 12:00:00 AM
2022-03-19T08-15-59,14740,Heritage Village Rehab C19,NLP,NLP,NLP,20,03/14/2022 12:00:00 AM
2022-03-19T11-58-02,14740,Heritage Village Rehab C19,NLP,NLP,NLP,20,03/14/2022 12:00:00 AM
2022-03-20T06-05-37,14740,Heritage Village Rehab C19,NLP,NLP,NLP,20,03/14/2022 12:00:00 AM
2022-03-21T06-11-50,14740,Heritage Village Rehab C19,NLP,NLP,NLP,20,03/14/2022 12:00:00 AM
2022-03-21T14-18-38,14740,Heritage Village Rehab C19,NLP,NLP,NLP,20,03/14/2022 12:00:00 AM
2022-03-21T16-35-27,14740,Heritage Village Rehab C19,NLP,NLP,NLP,20,03/14/2022 12:00:00 AM
2022-03-24T13-46-29,14740,Heritage Village Rehab C19,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,14740,Heritage Village Rehab C19,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,14740,Heritage Village Rehab C19,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-26T12-42-50,14740,Heritage Village Rehab C19,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-27T06-25-27,14740,Heritage Village Rehab C19,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-28T06-21-17,14740,Heritage Village Rehab C19,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-29T08-50-48,14740,Heritage Village Rehab C19,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
