2022-02-16T08-11-48,15136,Giant Eagle Inc.,02/10/2022 12:00:00 AM,02/12/2022 12:00:00 AM,60,40,02/14/2022 12:00:00 AM
2022-02-16T08-23-53,15136,Giant Eagle Inc.,02/10/2022 12:00:00 AM,02/14/2022 12:00:00 AM,60,40,02/15/2022 12:00:00 AM
2022-02-16T18-37-01,15136,Giant Eagle Inc.,02/10/2022 12:00:00 AM,02/14/2022 12:00:00 AM,60,40,02/16/2022 12:00:00 AM
2022-02-18T15-54-16,15136,Giant Eagle Inc.,02/10/2022 12:00:00 AM,02/14/2022 12:00:00 AM,60,40,02/17/2022 12:00:00 AM
2022-02-18T16-04-21,15136,Giant Eagle Inc.,02/10/2022 12:00:00 AM,02/14/2022 12:00:00 AM,60,40,02/17/2022 12:00:00 AM
2022-02-22T09-09-37,15136,Giant Eagle Inc.,02/10/2022 12:00:00 AM,02/14/2022 12:00:00 AM,60,40,02/21/2022 12:00:00 AM
2022-02-24T09-51-18,15136,Giant Eagle Inc.,02/10/2022 12:00:00 AM,02/14/2022 12:00:00 AM,60,40,02/21/2022 12:00:00 AM
2022-03-03T09-56-49,15136,CVS Store #00258,02/25/2022 12:00:00 AM,,20,,
2022-03-03T09-56-49,15136,Giant Eagle Inc.,02/10/2022 12:00:00 AM,02/14/2022 12:00:00 AM,60,40,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,15136,CVS Store #00258,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,20,20,03/02/2022 12:00:00 AM
2022-03-03T10-04-44,15136,Giant Eagle Inc.,02/10/2022 12:00:00 AM,02/14/2022 12:00:00 AM,60,40,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,15136,CVS Store #00258,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,20,16,03/08/2022 12:00:00 AM
2022-03-08T14-40-56,15136,Rite Aid 03527,03/03/2022 12:00:00 AM,03/04/2022 12:00:00 AM,20,19,03/08/2022 12:00:00 AM
2022-03-08T14-40-56,15136,Giant Eagle Inc.,02/10/2022 12:00:00 AM,02/14/2022 12:00:00 AM,60,40,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,15136,Giant Eagle Inc.,NLP,NLP,NLP,40,03/11/2022 12:00:00 AM
2022-03-16T18-51-35,15136,Rite Aid 03527,NLP,NLP,NLP,19,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,15136,Giant Eagle Inc.,NLP,NLP,NLP,40,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,15136,Giant Eagle Inc.,NLP,NLP,NLP,40,03/15/2022 12:00:00 AM
