2022-03-08T14-40-56,19122,Rite Aid 01127,03/03/2022 12:00:00 AM,03/04/2022 12:00:00 AM,20,20,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,19122,Rite Aid 01127,NLP,NLP,NLP,20,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,19122,CVS Store #11371,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,19122,CVS Store #11371,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,19122,Rite Aid 01127,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-18T11-17-38,19122,CVS Store #11371,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,19122,CVS Store #11371,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,19122,Rite Aid 01127,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,19122,CVS Store #11371,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-19T08-15-59,19122,Rite Aid 01127,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,19122,CVS Store #11371,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,19122,Rite Aid 01127,NLP,NLP,NLP,20,03/19/2022 12:00:00 AM
