2022-03-08T14-40-56,19604,Weis Markets Inc,02/24/2022 12:00:00 AM,02/26/2022 12:00:00 AM,20,20,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,19604,Weis Markets Inc,NLP,NLP,NLP,20,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,19604,CVS Store #05734,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T09-58-11,19604,Weis Markets Inc,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,19604,CVS Store #05734,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,19604,Weis Markets Inc,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,19604,CVS Store #05734,NLP,NLP,NLP,19,03/17/2022 12:00:00 AM
2022-03-18T11-17-38,19604,Weis Markets Inc,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,19604,CVS Store #05734,NLP,NLP,NLP,19,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,19604,Weis Markets Inc,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,19604,CVS Store #05734,NLP,NLP,NLP,18,03/18/2022 12:00:00 AM
2022-03-19T08-15-59,19604,Weis Markets Inc,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,19604,CVS Store #05734,NLP,NLP,NLP,18,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,19604,Weis Markets Inc,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,19604,CVS Store #05734,NLP,NLP,NLP,18,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,19604,Weis Markets Inc,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,19604,CVS Store #05734,NLP,NLP,NLP,18,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,19604,Weis Markets Inc,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,19604,CVS Store #05734,NLP,NLP,NLP,18,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,19604,Weis Markets Inc,NLP,NLP,NLP,20,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,19604,CVS Store #05734,NLP,NLP,NLP,18,03/21/2022 12:00:00 AM
2022-03-21T16-35-27,19604,Weis Markets Inc,NLP,NLP,NLP,20,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,19604,CVS Store #05734,NLP,NLP,NLP,18,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,19604,Weis Markets Inc,NLP,NLP,NLP,20,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,19604,CVS Store #05734,NLP,NLP,NLP,18,03/22/2022 12:00:00 AM
2022-03-23T08-41-43,19604,Weis Markets Inc,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,19604,CVS Store #05734,NLP,NLP,NLP,18,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,19604,Weis Markets Inc,NLP,NLP,NLP,20,03/22/2022 12:00:00 AM
