2022-02-18T16-04-21,28203,Walgreens Store #17250,02/17/2022 12:00:00 AM,,20,0,02/17/2022 12:00:00 AM
2022-04-05T05-48-33,28203,Walgreens Store #17250,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-04-06T05-45-18,28203,CVS Store #03185,NLP,NLP,NLP,20,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,28203,Walgreens Store #17250,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-04-07T05-34-07,28203,CVS Store #03185,NLP,NLP,NLP,20,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,28203,Walgreens Store #17250,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-04-08T05-48-29,28203,CVS Store #03185,NLP,NLP,NLP,20,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,28203,Walgreens Store #17250,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-04-09T05-41-09,28203,CVS Store #03185,NLP,NLP,NLP,19,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,28203,Walgreens Store #17250,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-04-10T09-31-27,28203,Walgreens Store #17250,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-04-10T09-31-27,28203,CVS Store #03185,NLP,NLP,NLP,19,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,28203,CVS Store #03185,NLP,NLP,NLP,19,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,28203,Walgreens Store #17250,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-04-12T07-06-55,28203,CVS Store #03185,NLP,NLP,NLP,18,04/11/2022 12:00:00 AM
2022-04-12T07-06-55,28203,Walgreens Store #17250,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-04-13T09-20-57,28203,CVS Store #03185,NLP,NLP,NLP,18,04/12/2022 12:00:00 AM
2022-04-13T09-20-57,28203,Walgreens Store #17250,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-04-13T11-55-39,28203,CVS Store #03185,NLP,NLP,NLP,18,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,28203,Walgreens Store #17250,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-04-14T09-18-06,28203,CVS Store #03185,NLP,NLP,NLP,18,04/13/2022 12:00:00 AM
