2022-03-08T14-40-56,29640,INGLES MARKETS INC,03/03/2022 12:00:00 AM,03/07/2022 12:00:00 AM,20,,
2022-03-16T18-51-35,29640,INGLES MARKETS INC,NLP,NLP,NLP,20,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,29640,INGLES MARKETS INC,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,29640,INGLES MARKETS INC,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,29640,INGLES MARKETS INC,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,29640,INGLES MARKETS INC,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,29640,INGLES MARKETS INC,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,29640,INGLES MARKETS INC,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-20T06-05-37,29640,INGLES MARKETS INC,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-21T06-11-50,29640,INGLES MARKETS INC,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-21T14-18-38,29640,INGLES MARKETS INC,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-21T16-35-27,29640,INGLES MARKETS INC,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-22T09-16-18,29640,INGLES MARKETS INC,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-23T08-41-43,29640,INGLES MARKETS INC,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-24T07-49-11,29640,INGLES MARKETS INC,NLP,NLP,NLP,20,03/17/2022 12:00:00 AM
2022-03-24T13-46-29,29640,INGLES MARKETS INC,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,29640,INGLES MARKETS INC,NLP,NLP,NLP,20,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,29640,CVS Store #04286,NLP,NLP,NLP,19,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,29640,CVS Store #04286,NLP,NLP,NLP,19,03/25/2022 12:00:00 AM
2022-03-26T06-57-27,29640,INGLES MARKETS INC,NLP,NLP,NLP,20,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,29640,CVS Store #04286,NLP,NLP,NLP,19,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,29640,INGLES MARKETS INC,NLP,NLP,NLP,20,03/26/2022 12:00:00 AM
2022-03-27T06-25-27,29640,CVS Store #04286,NLP,NLP,NLP,19,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,29640,INGLES MARKETS INC,NLP,NLP,NLP,20,03/26/2022 12:00:00 AM
2022-03-28T06-21-17,29640,INGLES MARKETS INC,NLP,NLP,NLP,20,03/27/2022 12:00:00 AM
2022-03-28T06-21-17,29640,CVS Store #04286,NLP,NLP,NLP,19,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,29640,INGLES MARKETS INC,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,29640,CVS Store #04286,NLP,NLP,NLP,19,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,29640,INGLES MARKETS INC,NLP,NLP,NLP,20,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,29640,CVS Store #04286,NLP,NLP,NLP,19,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,29640,INGLES MARKETS INC,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-03-31T08-53-07,29640,CVS Store #04286,NLP,NLP,NLP,19,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,29640,INGLES MARKETS INC,NLP,NLP,NLP,20,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,29640,CVS Store #04286,NLP,NLP,NLP,19,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,29640,INGLES MARKETS INC,NLP,NLP,NLP,20,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,29640,CVS Store #04286,NLP,NLP,NLP,19,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,29640,INGLES MARKETS INC,NLP,NLP,NLP,20,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,29640,CVS Store #04286,NLP,NLP,NLP,19,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,29640,INGLES MARKETS INC,NLP,NLP,NLP,20,04/02/2022 12:00:00 AM
2022-04-03T05-51-54,29640,CVS Store #04286,NLP,NLP,NLP,19,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,29640,INGLES MARKETS INC,NLP,NLP,NLP,20,04/03/2022 12:00:00 AM
2022-04-04T05-38-24,29640,CVS Store #04286,NLP,NLP,NLP,19,04/01/2022 12:00:00 AM
