2022-03-08T14-40-56,34108,CVS Store #04227,03/03/2022 12:00:00 AM,03/05/2022 12:00:00 AM,40,,
2022-03-16T18-51-35,34108,CVS Store #04227,NLP,NLP,NLP,39,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,34108,CVS Store #04227,NLP,NLP,NLP,37,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,34108,CVS Store #04227,NLP,NLP,NLP,37,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,34108,CVS Store #04227,NLP,NLP,NLP,34,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,34108,CVS Store #04227,NLP,NLP,NLP,34,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,34108,CVS Store #04227,NLP,NLP,NLP,34,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,34108,CVS Store #04227,NLP,NLP,NLP,34,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,34108,CVS Store #04227,NLP,NLP,NLP,34,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,34108,CVS Store #04227,NLP,NLP,NLP,34,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,34108,CVS Store #04227,NLP,NLP,NLP,34,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,34108,CVS Store #04227,NLP,NLP,NLP,31,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,34108,CVS Store #04227,NLP,NLP,NLP,31,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,34108,CVS Store #04227,NLP,NLP,NLP,31,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,34108,CVS Store #04227,NLP,NLP,NLP,31,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,34108,CVS Store #04227,NLP,NLP,NLP,31,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,34108,CVS Store #04227,NLP,NLP,NLP,31,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,34108,CVS Store #04227,NLP,NLP,NLP,31,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,34108,CVS Store #04227,NLP,NLP,NLP,31,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,34108,CVS Store #04227,NLP,NLP,NLP,31,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,34108,CVS Store #04227,NLP,NLP,NLP,31,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,34108,CVS Store #04227,NLP,NLP,NLP,30,03/28/2022 12:00:00 AM
